structure_name,cell_density
GRN,11312.43747915972
ISN,7284.552845528456
PPY,14218.522372528616
AMBv,12066.152149944874
AMBd,8543.325526932085
IRN,9832.890856902142
PRP,2402.67624829637
NR,15721.47001934236
LIN,8520.868113522538
LRNm,14514.567230102777
LRNp,7930.8357348703175
MARN,16002.28299643282
ICB,1888.888888888889
MDRNd,17097.95918367347
MDRNv,18825.489927367413
ACVII,6336.633663366336
VI,5067.615658362989
VII,11563.304659084348
MV,2939.9849224818904
LAV,5925.1523063533505
SUV,3718.004717393204
SPIV,3281.9847575806716
x,3890.7779495105615
XII,7828.868120456905
y,4471.232876712329
IO,23256.675534535425
DMX,11636.363636363636
PARN,8991.45215887782
PAS,2209.1370558375634
PGRNd,5726.3566832584675
PGRNl,10185.498835993118
RM,16510.30592319375
RO,11118.644067796611
RPA,20716.89831748354
AP,141.20242691671262
SPVC,8520.424697737135
SPVI,5235.860706347246
SPVO,9204.604181348368
Pa5,211.83285064129086
VCO,2779.3015176449076
DCO,2508.719304489298
NTB,11607.080874696287
NTS,13541.21740328637
GR,4971.867007672634
CU,36734.617191169564
ECU,1409.8690835850957
PRNr,7051.141038409908
LC,364.32637571157494
LDT,1774.5716862037873
RPO,8469.327618537369
SLC,2256.4102564102564
SLD,1669.8808848553604
NI,3497.5272007912963
CS,7540.481219199073
SOCm,11380.61938061938
SOCl,10332.305584104146
POR,8416.555407209613
NLL,5491.315833848575
PSV,8181.525973141565
KF,5759.26833251674
PRNc,11348.131088210757
B,324.3243243243243
SG,2385.737439222042
SUT,5613.114754098361
P5,8951.686093068778
Acs5,16626.80412371134
PC5,10067.41573033708
I5,7140.864714086471
TRN,9569.295743340866
PDTg,1196.919691969197
V,7659.033929466823
DTN,1124.1044603651492
PCG,1163.3644859813085
PG,2618.731527690295
ME,1021.9560878243514
PS,4694.739411692909
PVp,1171.3810316139768
PVpo,1726.8128161888703
AVP,3640.913720355012
AVPV,1722.2922381199494
SCH,1754.4696066746126
SFO,1307.9633544749825
SBPV,3307.303628847037
MEPO,1281.1262648482182
MPO,4560.488470398784
VMPO,3303.3565547815074
VLPO,5798.554216867469
ADP,1934.5088161209069
OV,307.6923076923077
DMH,2782.9715105287178
PD,2227.6575729068677
PVi,2595.8096634292347
ARH,1903.8901601830664
PVa,2803.871625063678
ASO,8593.186372745491
PVH,4172.888842149542
SO,6427.350427350428
RCH,2637.5338020551653
LHA,3259.7785339861525
LPO,6903.169948331239
PST,3218.3908045977014
PSTN,2143.134252169474
STN,3052.140737600678
PeF,2743.9213657527157
TU,1256.8942200270476
FF,4056.986616779393
PMv,1505.3219203572758
VMHDM,3374.926526156688
VMHC,2849.667202203351
VMHVL,2620.100892510671
LM,242.8599960055922
MM,295.7596952476114
SUM,620.7683529859262
TM,897.0099667774086
MPN,5038.83751651255
PVHd,2878.3068783068784
VMH,4031.496062992126
AHN,4460.365520008755
PH,1127.6414933998074
PMd,667.2519754170324
LGv,3036.2094179584674
IGL,3610.146862483311
SubG,3261.8629173989457
IntG,4684.470820969338
PO,2595.1849094068007
POL,3883.614088820827
LP,1241.8357270317563
SGN,2069.3667487133584
Eth,2061.248714093535
IAD,1022.9694529955009
IAM,281.7056396148556
AM,3184.417133203034
LD,1583.8503565144922
AV,2118.4520371439994
AD,462.42774566473986
RT,2653.1438962728603
PR,2182.2690638561685
MD,466.30603430200864
SMT,1636.3779403666115
IMD,53.736356003358516
RH,299.97466430200154
PIL,3157.894736842105
CL,1460.2030167915757
CM,189.83587106980423
PCN,1702.822822822823
PF,1061.5968611438961
PVT,296.7745722419511
PT,1494.4485934777197
RE,2236.016201575429
Xi,641.7571923122836
LH,236.8573594328265
MH,235.66234005339226
LGd,1560.2661905534817
MG,3316.0021714216778
PP,2412.1715076071923
SPFm,186.4801864801865
SPFp,4869.936034115139
SPA,246.94962978412764
PoT,3403.8706031925412
VAL,3009.225413402959
VM,3080.917125990672
VP,2794.1335266143524
PPT,752.7622668409172
APN,3484.2007434944235
MPT,40.99935938500961
RPF,847.4662592309651
NOT,167.7512653651482
NPC,701.3055104073821
OP,306.3925654745142
IV,2782.608695652174
MRN,3301.6148495654415
RN,3100.1472754050073
AT,4490.60773480663
RR,2398.001665278934
SCig,2479.743792576436
SCiw,5302.079636081795
SCdg,2986.094823253476
SCdw,1676.8194655659352
III,663.8194020744356
SNr,2215.7684976607175
MA3,209.15032679738562
MT,6225.780624499599
Pa4,3695.774647887324
PN,359.5505617977528
CUN,1770.7126171768346
LT,3859.29648241206
VTA,2535.049356491316
DT,904.5936395759718
VTN,4363.636363636363
PRC,124.6823648992038
ND,421.13179169016735
Su3,1166.8185961713766
INC,1840.034587116299
EW,491.6201117318436
SAG,3536.3043176454253
SCzo,687.3094383088285
SCsg,735.4750205210663
SCop,1400.53050397878
ICc,3563.7345297617917
ICd,3453.61328125
ICe,4422.530199086614
MEV,309.17874396135267
NB,1001.5428697377122
SCO,0.0
PBG,433.4575008465967
PPN,3607.500455124704
IPR,127.64896534530044
IPC,1207.5471698113208
IPA,1129.7440423654016
IPL,662.0689655172414
IPI,725.8172114743162
IPDM,1505.0391937290033
IPDL,869.2699490662139
IPRL,760.3960396039604
IF,698.7224157955866
RL,350.9252912954078
CLI,855.7469786577527
DR,1132.5790542500724
SNc,4390.684239032316
VeCB,415.13513513513516
DN,4154.204769589385
IP,2256.1484598668553
FN,8419.033920652044
SIM,3475.246555622137
ANcr1,4539.845703825163
ANcr2,3831.97632275419
PRM,3253.4222219473654
COPY,3085.3206836051727
PFL,1042.6840927240212
FL,1438.7514966351514
LING,231.66023166023166
CENT2,483.38526288315035
CENT3,1317.355568790947
"CUL4, 5",3306.355685131195
DEC,5117.304666702559
FOTU,7263.333575212248
PYR,18894.538477352155
UVU,13618.096520971712
NOD,775.9519038076153
LSc,1316.4434793099288
LSr,1851.9366514514536
LSv,2214.577805525207
SF,784.9193731546674
SH,162.6842907981698
IA,4943.9086793938195
MeAV,1627.1186440677966
MeA,914.0245644101685
MeAPD,702.406078514141
MeAPV,429.286414529694
AAA,5091.606554642872
BA,371.28353879622915
MeAD,2330.9870682599444
CEAc,5241.788917265546
CEAl,2885.9029833750856
CEAm,2578.822051859023
