structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,1,32,33,0.011515625,0.011390625,0.02290625,86.8385346,2809.327846
Accessory facial motor nucleus,0,1,1,0.001953125,0.002015625,0.00396875,0,496.124031
"Accessory olfactory bulb, glomerular layer",188,519,707,0.108609375,0.11846875,0.227078125,1730.973961,4380.902137
"Accessory olfactory bulb, granular layer",499,471,970,0.152421875,0.164078125,0.3165,3273.808303,2870.583754
"Accessory olfactory bulb, mitral layer",499,1010,1509,0.19909375,0.21271875,0.4118125,2506.35693,4748.053474
Accessory supraoptic group,6,5,11,0.004015625,0.00359375,0.007609375,1494.163424,1391.304348
Accessory trigeminal nucleus,20,49,69,0.005046875,0.004640625,0.0096875,3962.848297,10558.92256
"Agranular insular area, dorsal part, layer 1",227,193,420,0.154015625,0.1890625,0.343078125,1473.876433,1020.826446
"Agranular insular area, dorsal part, layer 2/3",994,759,1753,0.31803125,0.38721875,0.70525,3125.479021,1960.132354
"Agranular insular area, dorsal part, layer 5",3303,1767,5070,0.55571875,0.6459375,1.20165625,5943.654052,2735.558781
"Agranular insular area, dorsal part, layer 6a",1476,1146,2622,0.341109375,0.37553125,0.716640625,4327.057854,3051.676791
"Agranular insular area, dorsal part, layer 6b",69,43,112,0.022265625,0.025390625,0.04765625,3098.947368,1693.538462
"Agranular insular area, posterior part, layer 1",109,175,284,0.211765625,0.30075,0.512515625,514.7199882,581.8786367
"Agranular insular area, posterior part, layer 2/3",1266,1425,2691,0.402234375,0.535046875,0.93728125,3147.418716,2663.31805
"Agranular insular area, posterior part, layer 5",1766,1898,3664,0.3835625,0.47109375,0.85465625,4604.204008,4028.922056
"Agranular insular area, posterior part, layer 6a",1436,787,2223,0.23225,0.262390625,0.494640625,6182.992465,2999.344965
"Agranular insular area, posterior part, layer 6b",58,14,72,0.011625,0.012765625,0.024390625,4989.247312,1096.695226
"Agranular insular area, ventral part, layer 1",132,219,351,0.087734375,0.104109375,0.19184375,1504.541407,2103.556956
"Agranular insular area, ventral part, layer 2/3",766,940,1706,0.219546875,0.24875,0.468296875,3489.004341,3778.894472
"Agranular insular area, ventral part, layer 5",1717,1869,3586,0.2835,0.31215625,0.59565625,6056.43739,5987.386125
"Agranular insular area, ventral part, layer 6a",579,639,1218,0.07303125,0.077375,0.15040625,7928.112965,8258.481422
"Agranular insular area, ventral part, layer 6b",0,2,2,0.001609375,0.001578125,0.0031875,0,1267.326733
alveus,3504,2839,6343,0.7705625,0.753046875,1.523609375,4547.327439,3770.017637
amygdalar capsule,270,166,436,0.09696875,0.101453125,0.198421875,2784.402191,1636.223625
Anterior amygdalar area,207,239,446,0.284734375,0.27709375,0.561828125,726.99336,862.5239653
"Anterior area, layer 1",573,330,903,0.1245,0.128046875,0.252546875,4602.409639,2577.181208
"Anterior area, layer 2/3",2979,1172,4151,0.223765625,0.2299375,0.453703125,13313.0368,5097.037238
"Anterior area, layer 4",1035,241,1276,0.07771875,0.08025,0.15796875,13317.2497,3003.115265
"Anterior area, layer 5",970,303,1273,0.185609375,0.187953125,0.3735625,5226.029127,1612.104082
"Anterior area, layer 6a",846,334,1180,0.116171875,0.117890625,0.2340625,7282.313383,2833.134526
"Anterior area, layer 6b",138,53,191,0.02121875,0.0218125,0.04303125,6503.681885,2429.799427
"Anterior cingulate area, dorsal part, layer 1",2916,274,3190,0.200640625,0.265015625,0.46565625,14533.44755,1033.901303
"Anterior cingulate area, dorsal part, layer 2/3",2907,3241,6148,0.242140625,0.244921875,0.4870625,12005.4204,13232.79107
"Anterior cingulate area, dorsal part, layer 5",3272,5029,8301,0.48165625,0.52228125,1.0039375,6793.226497,9628.911626
"Anterior cingulate area, dorsal part, layer 6a",1141,2335,3476,0.3075,0.34084375,0.64834375,3710.569106,6850.646374
"Anterior cingulate area, dorsal part, layer 6b",28,144,172,0.011953125,0.012734375,0.0246875,2342.48366,11307.97546
"Anterior cingulate area, ventral part, 6a",705,1086,1791,0.177625,0.193140625,0.370765625,3969.03589,5622.846048
"Anterior cingulate area, ventral part, 6b",144,251,395,0.03084375,0.033625,0.06446875,4668.693009,7464.684015
"Anterior cingulate area, ventral part, layer 1",1416,166,1582,0.197359375,0.263546875,0.46090625,7174.728842,629.8689749
"Anterior cingulate area, ventral part, layer 2/3",1447,2068,3515,0.255265625,0.24875,0.504015625,5668.605007,8313.567839
"Anterior cingulate area, ventral part, layer 5",1989,3336,5325,0.485125,0.522890625,1.008015625,4099.974233,6379.919319
"anterior commissure, olfactory limb",949,1722,2671,0.4606875,0.480421875,0.941109375,2059.964727,3584.349693
"anterior commissure, temporal limb",513,520,1033,0.144375,0.1360625,0.2804375,3553.246753,3821.773082
Anterior hypothalamic nucleus,1034,1202,2236,0.409984375,0.384921875,0.79490625,2522.047334,3122.711589
Anterior olfactory nucleus,16765,25265,42030,2.813,3.09184375,5.90484375,5959.829364,8171.499611
Anterior pretectal nucleus,15463,12441,27904,0.751234375,0.6996875,1.450921875,20583.45639,17780.795
Anterior tegmental nucleus,31,210,241,0.01840625,0.01871875,0.037125,1684.210526,11218.69783
Anterodorsal nucleus,527,276,803,0.100234375,0.099015625,0.19925,5257.677319,2787.438851
Anterodorsal preoptic nucleus,22,24,46,0.072796875,0.06734375,0.140140625,302.2107748,356.3805104
"Anterolateral visual area, layer 1",192,242,434,0.05084375,0.066015625,0.116859375,3776.275353,3665.798817
"Anterolateral visual area, layer 2/3",1568,1632,3200,0.086984375,0.10834375,0.195328125,18026.22597,15063.167
"Anterolateral visual area, layer 4",1244,937,2181,0.046453125,0.05671875,0.103171875,26779.68382,16520.11019
"Anterolateral visual area, layer 5",1520,681,2201,0.092875,0.108609375,0.201484375,16366.08345,6270.176953
"Anterolateral visual area, layer 6a",734,439,1173,0.05225,0.060484375,0.112734375,14047.84689,7258.072849
"Anterolateral visual area, layer 6b",124,91,215,0.010265625,0.011703125,0.02196875,12079.14764,7775.700935
"Anteromedial nucleus, dorsal part",1780,1143,2923,0.173234375,0.161109375,0.33434375,10275.09696,7094.559209
"Anteromedial nucleus, ventral part",1474,1296,2770,0.116203125,0.1078125,0.224015625,12684.68468,12020.86957
"Anteromedial visual area, layer 1",982,492,1474,0.076703125,0.076734375,0.1534375,12802.60746,6411.728772
"Anteromedial visual area, layer 2/3",2000,949,2949,0.113265625,0.118671875,0.2319375,17657.60795,7996.840026
"Anteromedial visual area, layer 4",566,295,861,0.033484375,0.03390625,0.067390625,16903.40644,8700.460829
"Anteromedial visual area, layer 5",975,496,1471,0.1244375,0.126265625,0.250703125,7835.258664,3928.226705
"Anteromedial visual area, layer 6a",816,615,1431,0.076234375,0.07609375,0.152328125,10703.83275,8082.135524
"Anteromedial visual area, layer 6b",109,73,182,0.01396875,0.0143125,0.02828125,7803.131991,5100.436681
Anteroventral nucleus of thalamus,2278,1655,3933,0.2710625,0.25621875,0.52728125,8403.965875,6459.324308
Anteroventral periventricular nucleus,95,168,263,0.103703125,0.1054375,0.209140625,916.0765406,1593.360996
Anteroventral preoptic nucleus,47,34,81,0.056765625,0.0529375,0.109703125,827.9658684,642.2668241
arbor vitae,27836,30866,58702,3.506890625,3.31353125,6.820421875,7937.515873,9315.13774
Arcuate hypothalamic nucleus,26,134,160,0.13575,0.135359375,0.271109375,191.5285451,989.9572896
Area postrema,10,13,23,0.017359375,0.02415625,0.041515625,576.0576058,538.1630013
Area prostriata,1047,567,1614,0.2175,0.22415625,0.44165625,4813.793103,2529.485571
auditory radiation,3917,1000,4917,0.23328125,0.22728125,0.4605625,16790.89082,4399.835006
Barrington's nucleus,5,48,53,0.006796875,0.00625,0.013046875,735.6321839,7680
"Basolateral amygdalar nucleus, anterior part",1590,1074,2664,0.48215625,0.452125,0.93428125,3297.686175,2375.449267
"Basolateral amygdalar nucleus, posterior part",1744,1231,2975,0.419453125,0.391734375,0.8111875,4157.794748,3142.435483
"Basolateral amygdalar nucleus, ventral part",867,625,1492,0.26009375,0.25125,0.51134375,3333.413433,2487.562189
