structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,1,2,3,0.014953125,0.015078125,0.03003125,66.87565308,132.642487
Accessory facial motor nucleus,1,2,3,0.002484375,0.002671875,0.00515625,402.5157233,748.5380117
"Accessory olfactory bulb, glomerular layer",345,300,645,0.098578125,0.1235,0.222078125,3499.762244,2429.149798
"Accessory olfactory bulb, granular layer",467,1887,2354,0.13003125,0.158328125,0.288359375,3591.444364,11918.28679
"Accessory olfactory bulb, mitral layer",656,1676,2332,0.175078125,0.2193125,0.394390625,3746.898706,7642.063266
Accessory supraoptic group,1,10,11,0.00275,0.002828125,0.005578125,363.6363636,3535.911602
Accessory trigeminal nucleus,4,4,8,0.00575,0.005984375,0.011734375,695.6521739,668.4073107
"Agranular insular area, dorsal part, layer 1",236,142,378,0.162359375,0.22740625,0.389765625,1453.565586,624.4331455
"Agranular insular area, dorsal part, layer 2/3",1499,4244,5743,0.34178125,0.464578125,0.806359375,4385.84621,9135.169677
"Agranular insular area, dorsal part, layer 5",3368,8164,11532,0.582109375,0.77053125,1.352640625,5785.854248,10595.28734
"Agranular insular area, dorsal part, layer 6a",1162,2752,3914,0.35409375,0.4435,0.79759375,3281.616803,6205.18602
"Agranular insular area, dorsal part, layer 6b",9,30,39,0.02296875,0.0296875,0.05265625,391.8367347,1010.526316
"Agranular insular area, posterior part, layer 1",1504,785,2289,0.3688125,0.4286875,0.7975,4077.952889,1831.170725
"Agranular insular area, posterior part, layer 2/3",5583,10254,15837,0.60915625,0.6349375,1.24409375,9165.136203,16149.62103
"Agranular insular area, posterior part, layer 5",3981,6851,10832,0.45846875,0.463171875,0.921640625,8683.252675,14791.48534
"Agranular insular area, posterior part, layer 6a",279,839,1118,0.222375,0.22865625,0.45103125,1254.637437,3669.263359
"Agranular insular area, posterior part, layer 6b",6,52,58,0.0089375,0.009640625,0.018578125,671.3286713,5393.841167
"Agranular insular area, ventral part, layer 1",131,56,187,0.0894375,0.11753125,0.20696875,1464.709993,476.4690242
"Agranular insular area, ventral part, layer 2/3",710,2269,2979,0.224375,0.278390625,0.502765625,3164.345404,8150.41814
"Agranular insular area, ventral part, layer 5",1633,3831,5464,0.279796875,0.349296875,0.62909375,5836.376836,10967.74771
"Agranular insular area, ventral part, layer 6a",676,1155,1831,0.075453125,0.087203125,0.16265625,8959.204804,13244.93818
"Agranular insular area, ventral part, layer 6b",6,3,9,0.00153125,0.001671875,0.003203125,3918.367347,1794.392523
alveus,1138,2348,3486,0.638546875,0.652734375,1.29128125,1782.171434,3597.175344
amygdalar capsule,116,465,581,0.066890625,0.07528125,0.142171875,1734.174258,6176.836862
Anterior amygdalar area,151,268,419,0.22384375,0.226171875,0.450015625,674.5776909,1184.939551
"Anterior area, layer 1",349,1672,2021,0.118140625,0.1295,0.247640625,2954.1066,12911.19691
"Anterior area, layer 2/3",4946,7017,11963,0.202796875,0.23040625,0.433203125,24388.93597,30454.90302
"Anterior area, layer 4",1833,2031,3864,0.07471875,0.082546875,0.157265625,24531.99498,24604.20216
"Anterior area, layer 5",1432,1786,3218,0.16484375,0.191859375,0.356703125,8687.014218,9308.901376
"Anterior area, layer 6a",692,1476,2168,0.102953125,0.1205,0.223453125,6721.50554,12248.96266
"Anterior area, layer 6b",99,284,383,0.01825,0.02153125,0.03978125,5424.657534,13190.13062
"Anterior cingulate area, dorsal part, layer 1",2090,85,2175,0.175390625,0.22728125,0.402671875,11916.25835,373.9859755
"Anterior cingulate area, dorsal part, layer 2/3",3833,2269,6102,0.211890625,0.208578125,0.42046875,18089.52142,10878.41786
