structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,0,0,0,0.01390625,0.014484375,0.028390625,0,0
Accessory facial motor nucleus,0,0,0,0.00221875,0.002578125,0.004796875,0,0
"Accessory olfactory bulb, glomerular layer",18,52,70,0.177328125,0.159140625,0.33646875,101.5067407,326.7550319
"Accessory olfactory bulb, granular layer",88,81,169,0.208046875,0.177640625,0.3856875,422.9815997,455.976779
"Accessory olfactory bulb, mitral layer",41,119,160,0.29790625,0.256671875,0.554578125,137.6271898,463.6269556
Accessory supraoptic group,3,2,5,0.00521875,0.004828125,0.010046875,574.8502994,414.2394822
Accessory trigeminal nucleus,1,0,1,0.006265625,0.006890625,0.01315625,159.6009975,0
"Agranular insular area, dorsal part, layer 1",85,287,372,0.1889375,0.16346875,0.35240625,449.884221,1755.687249
"Agranular insular area, dorsal part, layer 2/3",397,790,1187,0.390953125,0.33765625,0.728609375,1015.467008,2339.657566
"Agranular insular area, dorsal part, layer 5",823,1697,2520,0.668171875,0.5820625,1.250234375,1231.719009,2915.49447
"Agranular insular area, dorsal part, layer 6a",350,671,1021,0.4040625,0.349859375,0.753921875,866.2026295,1917.913447
"Agranular insular area, dorsal part, layer 6b",39,34,73,0.025875,0.023671875,0.049546875,1507.246377,1436.30363
"Agranular insular area, posterior part, layer 1",176,241,417,0.33375,0.4118125,0.7455625,527.340824,585.2177872
"Agranular insular area, posterior part, layer 2/3",1253,2405,3658,0.6285625,0.7061875,1.33475,1993.437407,3405.611116
"Agranular insular area, posterior part, layer 5",1535,3411,4946,0.58153125,0.5738125,1.15534375,2639.582997,5944.450496
"Agranular insular area, posterior part, layer 6a",990,1012,2002,0.33490625,0.298859375,0.633765625,2956.051134,3386.207978
"Agranular insular area, posterior part, layer 6b",17,20,37,0.0150625,0.0128125,0.027875,1128.630705,1560.97561
"Agranular insular area, ventral part, layer 1",113,137,250,0.102515625,0.09103125,0.193546875,1102.270995,1504.977686
"Agranular insular area, ventral part, layer 2/3",388,547,935,0.249578125,0.22171875,0.471296875,1554.623427,2467.0895
"Agranular insular area, ventral part, layer 5",546,839,1385,0.321953125,0.2839375,0.605890625,1695.899054,2954.875633
"Agranular insular area, ventral part, layer 6a",269,297,566,0.0816875,0.07228125,0.15396875,3293.03749,4108.949416
"Agranular insular area, ventral part, layer 6b",0,0,0,0.001703125,0.0015,0.003203125,0,0
alveus,1664,1226,2890,0.911578125,0.86921875,1.780796875,1825.405804,1410.461981
amygdalar capsule,179,171,350,0.125921875,0.105703125,0.231625,1421.516317,1617.738359
Anterior amygdalar area,150,182,332,0.4648125,0.370578125,0.835390625,322.7107705,491.1245098
"Anterior area, layer 1",623,0,623,0.0915625,0,0.0915625,6804.095563,0
"Anterior area, layer 2/3",2360,1,2361,0.193375,0.0061875,0.1995625,12204.26632,161.6161616
"Anterior area, layer 4",278,21,299,0.07128125,0.034953125,0.106234375,3900.04384,600.8046491
"Anterior area, layer 5",260,222,482,0.1625625,0.168734375,0.331296875,1599.384852,1315.677378
"Anterior area, layer 6a",181,231,412,0.103140625,0.121953125,0.22509375,1754.885623,1894.170404
"Anterior area, layer 6b",2,20,22,0.01834375,0.022359375,0.040703125,109.0289608,894.479385
"Anterior cingulate area, dorsal part, layer 1",933,44,977,0.20003125,0.260828125,0.460859375,4664.271208,168.6934643
"Anterior cingulate area, dorsal part, layer 2/3",1183,1375,2558,0.2350625,0.243609375,0.478671875,5032.704068,5644.281958
"Anterior cingulate area, dorsal part, layer 5",1216,553,1769,0.467125,0.518359375,0.985484375,2603.157613,1066.82743
"Anterior cingulate area, dorsal part, layer 6a",312,155,467,0.309421875,0.379515625,0.6889375,1008.332071,408.415332
"Anterior cingulate area, dorsal part, layer 6b",4,1,5,0.01215625,0.0151875,0.02734375,329.0488432,65.8436214
"Anterior cingulate area, ventral part, 6a",81,92,173,0.182171875,0.213046875,0.39521875,444.6350459,431.8298497
"Anterior cingulate area, ventral part, 6b",2,5,7,0.03175,0.03803125,0.06978125,62.99212598,131.4708299
"Anterior cingulate area, ventral part, layer 1",437,57,494,0.19465625,0.263703125,0.458359375,2244.983143,216.1521597
"Anterior cingulate area, ventral part, layer 2/3",318,751,1069,0.2548125,0.251828125,0.506640625,1247.976453,2982.192716
"Anterior cingulate area, ventral part, layer 5",592,181,773,0.486453125,0.539609375,1.0260625,1216.972344,335.4278268
"anterior commissure, olfactory limb",284,224,508,0.450953125,0.46209375,0.913046875,629.777208,484.7501183
"anterior commissure, temporal limb",33,18,51,0.196484375,0.1706875,0.367171875,167.9522863,105.455877
Anterior hypothalamic nucleus,185,137,322,0.604296875,0.54815625,1.152453125,306.1409179,249.9287384
Anterior olfactory nucleus,6781,5652,12433,2.605703125,2.699796875,5.3055,2602.368603,2093.49083
Anterior pretectal nucleus,113,39,152,0.996265625,1.065953125,2.06221875,113.4235661,36.58697469
Anterior tegmental nucleus,4,0,4,0.026,0.026375,0.052375,153.8461538,0
Anterodorsal nucleus,65,87,152,0.138421875,0.150734375,0.28915625,469.5789593,577.1742511
Anterodorsal preoptic nucleus,2,7,9,0.0705625,0.07209375,0.14265625,28.34366696,97.09579541
"Anterolateral visual area, layer 1",757,407,1164,0.08428125,0.1053125,0.18959375,8981.831665,3864.688427
"Anterolateral visual area, layer 2/3",3261,1096,4357,0.136015625,0.16128125,0.297296875,23975.18667,6795.582252
"Anterolateral visual area, layer 4",1299,152,1451,0.067078125,0.07634375,0.143421875,19365.47869,1990.994679
"Anterolateral visual area, layer 5",1027,399,1426,0.13175,0.14228125,0.27403125,7795.066414,2804.304854
"Anterolateral visual area, layer 6a",526,112,638,0.068421875,0.073890625,0.1423125,7687.599909,1515.753859
"Anterolateral visual area, layer 6b",103,1,104,0.014078125,0.014296875,0.028375,7316.315205,69.94535519
"Anteromedial nucleus, dorsal part",5,1,6,0.25559375,0.25065625,0.50625,19.56229368,3.98952749
"Anteromedial nucleus, ventral part",11,2,13,0.178234375,0.167921875,0.34615625,61.71648987,11.91030055
"Anteromedial visual area, layer 1",33,0,33,0.00978125,0,0.00978125,3373.801917,0
"Anteromedial visual area, layer 2/3",525,0,525,0.090375,0,0.090375,5809.128631,0
"Anteromedial visual area, layer 4",195,0,195,0.028328125,0,0.028328125,6883.618312,0
"Anteromedial visual area, layer 5",419,102,521,0.10309375,0.06890625,0.172,4064.261898,1480.272109
"Anteromedial visual area, layer 6a",332,184,516,0.0643125,0.077609375,0.141921875,5162.293489,2370.847594
"Anteromedial visual area, layer 6b",8,6,14,0.011890625,0.01465625,0.026546875,672.7989488,409.3816631
Anteroventral nucleus of thalamus,34,54,88,0.3889375,0.3991875,0.788125,87.41764422,135.2747769
Anteroventral periventricular nucleus,9,7,16,0.0940625,0.0971875,0.19125,95.68106312,72.02572347
Anteroventral preoptic nucleus,27,4,31,0.051375,0.052203125,0.103578125,525.5474453,76.62376534
arbor vitae,6786,6736,13522,4.0945625,3.697390625,7.791953125,1657.319921,1821.825358
Arcuate hypothalamic nucleus,24,69,93,0.196578125,0.1949375,0.391515625,122.0888642,353.9596024
Area postrema,13,17,30,0.019734375,0.02584375,0.045578125,658.7490103,657.7992745
Area prostriata,884,1148,2032,0.3011875,0.274125,0.5753125,2935.048765,4187.870497
auditory radiation,444,498,942,0.286765625,0.244203125,0.53096875,1548.30273,2039.285943
Barrington's nucleus,0,0,0,0.007609375,0.00784375,0.015453125,0,0
"Basolateral amygdalar nucleus, anterior part",1463,853,2316,0.585234375,0.467328125,1.0525625,2499.853157,1825.269986
"Basolateral amygdalar nucleus, posterior part",1553,1049,2602,0.491671875,0.410234375,0.90190625,3158.610608,2557.074843
"Basolateral amygdalar nucleus, ventral part",720,534,1254,0.29465625,0.266375,0.56103125,2443.525294,2004.692633
"Basomedial amygdalar nucleus, anterior part",618,331,949,0.6725625,0.522453125,1.195015625,918.8737106,633.5496606
"Basomedial amygdalar nucleus, posterior part",1202,678,1880,0.457125,0.399515625,0.856640625,2629.477714,1697.055028
Bed nuclei of the stria terminalis,122,68,190,1.285171875,1.181140625,2.4663125,94.92893703,57.57146826
