structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,0,0,0,0.013828125,0.01421875,0.028046875,0,0
Accessory facial motor nucleus,0,0,0,0.002375,0.00228125,0.00465625,0,0
"Accessory olfactory bulb, glomerular layer",113,263,376,0.12365625,0.118390625,0.242046875,913.8236037,2221.459681
"Accessory olfactory bulb, granular layer",239,614,853,0.135796875,0.136625,0.272421875,1759.98159,4494.053065
"Accessory olfactory bulb, mitral layer",310,903,1213,0.2023125,0.197265625,0.399578125,1532.282978,4577.584158
Accessory supraoptic group,0,0,0,0.003890625,0.003625,0.007515625,0,0
Accessory trigeminal nucleus,0,0,0,0.005671875,0.00634375,0.012015625,0,0
"Agranular insular area, dorsal part, layer 1",41,67,108,0.246,0.30321875,0.54921875,166.6666667,220.9625889
"Agranular insular area, dorsal part, layer 2/3",797,1209,2006,0.521265625,0.6295,1.150765625,1528.970954,1920.571882
"Agranular insular area, dorsal part, layer 5",1080,1535,2615,0.927359375,1.06184375,1.989203125,1164.597058,1445.598752
"Agranular insular area, dorsal part, layer 6a",504,637,1141,0.56515625,0.598578125,1.163734375,891.7887752,1064.188572
"Agranular insular area, dorsal part, layer 6b",3,7,10,0.037125,0.039875,0.077,80.80808081,175.5485893
"Agranular insular area, posterior part, layer 1",312,569,881,0.3756875,0.50803125,0.88371875,830.477458,1120.009842
"Agranular insular area, posterior part, layer 2/3",2410,2555,4965,0.71609375,0.84625,1.56234375,3365.481126,3019.202363
"Agranular insular area, posterior part, layer 5",2492,2515,5007,0.676984375,0.67253125,1.349515625,3681.030304,3739.603178
"Agranular insular area, posterior part, layer 6a",701,255,956,0.383890625,0.335765625,0.71965625,1826.040946,759.4583275
"Agranular insular area, posterior part, layer 6b",26,5,31,0.01746875,0.013828125,0.031296875,1488.372093,361.5819209
"Agranular insular area, ventral part, layer 1",30,22,52,0.14115625,0.16653125,0.3076875,212.5304406,132.1073372
"Agranular insular area, ventral part, layer 2/3",624,747,1371,0.36415625,0.410171875,0.774328125,1713.550159,1821.187764
"Agranular insular area, ventral part, layer 5",696,856,1552,0.470140625,0.509203125,0.97934375,1480.408123,1681.058026
"Agranular insular area, ventral part, layer 6a",368,355,723,0.128765625,0.132546875,0.2613125,2857.905594,2678.297772
"Agranular insular area, ventral part, layer 6b",1,0,1,0.002375,0.002296875,0.004671875,421.0526316,0
alveus,2230,1910,4140,0.8989375,0.882546875,1.781484375,2480.706389,2164.190996
amygdalar capsule,104,25,129,0.128171875,0.109546875,0.23771875,811.4104596,228.2128084
Anterior amygdalar area,11,36,47,0.2805625,0.27990625,0.56046875,39.20695032,128.6144915
"Anterior area, layer 1",189,160,349,0.1576875,0.162140625,0.319828125,1198.573127,986.7977257
"Anterior area, layer 2/3",4011,2541,6552,0.280578125,0.290953125,0.57153125,14295.48366,8733.365555
"Anterior area, layer 4",1224,503,1727,0.098765625,0.101171875,0.1999375,12392.97579,4971.737452
"Anterior area, layer 5",1019,598,1617,0.225390625,0.235765625,0.46115625,4521.039861,2536.417258
"Anterior area, layer 6a",432,491,923,0.1430625,0.147296875,0.290359375,3019.65924,3333.404052
"Anterior area, layer 6b",60,115,175,0.026765625,0.027671875,0.0544375,2241.681261,4155.844156
"Anterior cingulate area, dorsal part, layer 1",513,36,549,0.2286875,0.29296875,0.52165625,2243.235857,122.88
"Anterior cingulate area, dorsal part, layer 2/3",495,1845,2340,0.26284375,0.27365625,0.5365,1883.248127,6742.034943
"Anterior cingulate area, dorsal part, layer 5",1623,2632,4255,0.534953125,0.588515625,1.12346875,3033.910681,4472.268684
"Anterior cingulate area, dorsal part, layer 6a",622,768,1390,0.360484375,0.405109375,0.76559375,1725.4562,1895.784318
"Anterior cingulate area, dorsal part, layer 6b",7,14,21,0.0143125,0.01571875,0.03003125,489.0829694,890.6560636
"Anterior cingulate area, ventral part, 6a",449,545,994,0.21234375,0.23290625,0.44525,2114.495953,2339.997317
