structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,7,0,7,0.00965625,0.00903125,0.0186875,724.9190939,0
Accessory facial motor nucleus,2,0,2,0.002359375,0.001828125,0.0041875,847.6821192,0
"Accessory olfactory bulb, glomerular layer",260,291,551,0.10234375,0.1299375,0.23228125,2540.458015,2239.53824
"Accessory olfactory bulb, granular layer",359,541,900,0.149765625,0.153609375,0.303375,2397.078769,3521.920456
"Accessory olfactory bulb, mitral layer",424,566,990,0.19328125,0.224515625,0.417796875,2193.694422,2520.982671
Accessory supraoptic group,0,0,0,0.0026875,0.002515625,0.005203125,0,0
Accessory trigeminal nucleus,0,1,1,0.005140625,0.003765625,0.00890625,0,265.560166
"Agranular insular area, dorsal part, layer 1",260,229,489,0.160359375,0.185390625,0.34575,1621.358277,1235.229667
"Agranular insular area, dorsal part, layer 2/3",1265,1135,2400,0.330578125,0.389125,0.719703125,3826.629484,2916.800514
"Agranular insular area, dorsal part, layer 5",1957,2733,4690,0.559671875,0.682046875,1.24171875,3496.6917,4007.055967
"Agranular insular area, dorsal part, layer 6a",659,1065,1724,0.305484375,0.41640625,0.721890625,2157.229809,2557.598499
"Agranular insular area, dorsal part, layer 6b",34,24,58,0.0186875,0.0274375,0.046125,1819.397993,874.715262
"Agranular insular area, posterior part, layer 1",2507,504,3011,0.3851875,0.35959375,0.74478125,6508.518579,1401.581646
"Agranular insular area, posterior part, layer 2/3",14470,4212,18682,0.551453125,0.560890625,1.11234375,26239.76426,7509.485472
"Agranular insular area, posterior part, layer 5",7011,3462,10473,0.387828125,0.42684375,0.814671875,18077.59558,8110.696244
"Agranular insular area, posterior part, layer 6a",696,406,1102,0.1965,0.21478125,0.41128125,3541.984733,1890.295359
"Agranular insular area, posterior part, layer 6b",26,51,77,0.00871875,0.009328125,0.018046875,2982.078853,5467.336683
"Agranular insular area, ventral part, layer 1",403,104,507,0.088125,0.103609375,0.191734375,4573.049645,1003.77017
"Agranular insular area, ventral part, layer 2/3",2389,946,3335,0.215421875,0.25240625,0.467828125,11089.86727,3747.92621
"Agranular insular area, ventral part, layer 5",3054,1604,4658,0.27321875,0.32453125,0.59775,11177.85657,4942.51324
"Agranular insular area, ventral part, layer 6a",324,566,890,0.066796875,0.083203125,0.15,4850.526316,6802.629108
"Agranular insular area, ventral part, layer 6b",4,0,4,0.00128125,0.001703125,0.002984375,3121.95122,0
alveus,1595,990,2585,0.55715625,0.559203125,1.116359375,2862.751697,1770.376373
amygdalar capsule,178,164,342,0.07621875,0.070671875,0.146890625,2335.383354,2320.583683
Anterior amygdalar area,222,177,399,0.25084375,0.216828125,0.467671875,885.0130809,816.3147654
"Anterior area, layer 1",103,523,626,0.08703125,0.084828125,0.171859375,1183.482944,6165.407994
"Anterior area, layer 2/3",4117,2199,6316,0.15325,0.149328125,0.302578125,26864.60033,14725.96003
"Anterior area, layer 4",1869,496,2365,0.054296875,0.053015625,0.1073125,34421.8705,9355.73239
"Anterior area, layer 5",3318,1330,4648,0.124921875,0.12059375,0.245515625,26560.60038,11028.76393
"Anterior area, layer 6a",1598,1010,2608,0.07915625,0.07634375,0.1555,20187.91946,13229.63569
"Anterior area, layer 6b",259,142,401,0.0128125,0.013515625,0.026328125,20214.63415,10506.35838
"Anterior cingulate area, dorsal part, layer 1",228,116,344,0.15034375,0.190578125,0.340921875,1516.524631,608.6742642
"Anterior cingulate area, dorsal part, layer 2/3",2480,674,3154,0.181921875,0.174515625,0.3564375,13632.22537,3862.118363
"Anterior cingulate area, dorsal part, layer 5",3232,1001,4233,0.376828125,0.357328125,0.73415625,8576.854501,2801.346801
"Anterior cingulate area, dorsal part, layer 6a",1590,522,2112,0.235203125,0.22421875,0.459421875,6760.114263,2328.083624
"Anterior cingulate area, dorsal part, layer 6b",34,18,52,0.0083125,0.00825,0.0165625,4090.225564,2181.818182
"Anterior cingulate area, ventral part, 6a",347,182,529,0.131,0.12690625,0.25790625,2648.854962,1434.129525
"Anterior cingulate area, ventral part, 6b",41,38,79,0.022140625,0.021640625,0.04378125,1851.799577,1755.956679
