a,b,c
CTX,/997/8/567/688/,Cerebral cortex
CNU,/997/8/567/623/,Cerebral nuclei
IB,/997/8/343/1129/,Interbrain
MB,/997/8/343/313/,Midbrain
HB,/997/8/343/1065/,Hindbrain
CBX,/997/8/512/528/,Cerebellar cortex
CBN,/997/8/512/519/,Cerebellar nuclei
