structure_name,cell_density
GRN,224.47194100737408
ISN,1025.6410256410256
PPY,475.06661591168637
AMBv,416.35687732342006
AMBd,2255.238095238095
IRN,712.822997920933
PRP,2312.2017723244717
NR,1172.3563696919234
LIN,5919.720767888307
LRNm,278.8619969975468
LRNp,1072.2928948184922
MARN,76.71696516711324
ICB,9830.799220272906
MDRNd,11833.847614526467
MDRNv,1228.946739909243
ACVII,0.0
VI,2329.5019157088122
VII,128.41362705134432
MV,1839.0850372730329
LAV,2081.0556079170597
SUV,1924.198250728863
SPIV,15961.847389558234
x,45677.2100567721
XII,1802.6562082182013
y,3741.007194244604
IO,341.08645171114244
DMX,1611.9746689694875
PARN,8633.134999853928
PAS,8660.808435852374
PGRNd,678.0423776486031
PGRNl,710.3711411723899
RM,96.37102845956935
RO,211.22112211221122
RPA,1163.9619473978735
AP,7527.633443552197
SPVC,19544.961788371547
SPVI,35560.31090014142
SPVO,13028.607554923345
Pa5,19184.422392810335
VCO,2709.620005339503
DCO,8063.851558769356
NTB,80.61376388411772
NTS,4293.110406457193
GR,1956.5714285714287
CU,17429.653527844017
ECU,52171.66271296097
PRNr,1041.3927312891178
LC,4316.472114137484
LDT,4545.974416854779
RPO,1623.942745608328
SLC,1857.142857142857
SLD,1688.9971579374746
NI,1999.6622192197262
CS,541.5281619749413
SOCm,136.95571269073318
SOCl,195.05462909718227
POR,389.3560193886636
NLL,1368.0940656710923
PSV,1174.5472030774163
KF,6049.163300634738
PRNc,560.0434094782455
B,1712.895377128954
SG,1986.2068965517242
SUT,901.9191275405424
P5,338.42314776305625
Acs5,437.1584699453552
PC5,840.0954653937948
I5,1769.8765432098767
TRN,1229.808079134818
PDTg,1195.5484896661367
V,460.72333563694997
DTN,1061.7791120240165
PCG,1592.2524628485558
PG,2089.315227206897
ME,193.25044404973357
PS,3715.9366262814538
PVp,1326.8473476951585
PVpo,1709.5378699443795
AVP,1436.8282780033435
AVPV,2454.185210022557
SCH,1840.0000000000002
SFO,8161.943319838057
SBPV,2318.840579710145
MEPO,3248.451479697178
MPO,1666.086956521739
VMPO,1671.5294117647059
VLPO,1407.1088310736534
ADP,2771.349471143608
OV,2122.4489795918366
DMH,4398.66082925573
PD,1232.5925925925926
PVi,2081.896798579692
ARH,796.117419780427
PVa,3016.2002945508098
ASO,2399.9999999999995
PVH,4815.445769449177
SO,3132.9842931937173
RCH,869.1160543197534
LHA,2777.767155503719
LPO,1423.9178757628422
PST,3799.0867579908677
PSTN,6503.581851950119
STN,1477.6181380284029
PeF,1666.2764118860455
TU,2323.985953483638
FF,3133.4197690930423
PMv,6937.226277372263
VMHDM,918.095848693701
VMHC,1022.6244343891402
VMHVL,1549.3377773879486
LM,490.2336269628494
MM,471.16774642608556
SUM,2100.4122185815454
TM,5712.914834066373
MPN,1750.6656983781165
PVHd,3060.31237484982
VMH,889.053528431191
AHN,1334.7381468856522
PH,4053.1132483610104
PMd,2403.2817923635216
LGv,13694.486349700715
IGL,20825.396825396823
SubG,4456.233421750663
IntG,20436.540016168146
PO,2386.114418196629
POL,7438.540587907272
LP,6386.052158141848
SGN,4601.797577178585
Eth,5076.626877165961
IAD,1731.7181006278186
IAM,1712.286478699321
AM,2478.1865477517654
LD,3194.588340008901
AV,3843.837647893227
AD,3975.254974084601
RT,4401.064465323413
PR,1326.5988848802888
MD,1533.2162603621084
SMT,395.56030158884255
IMD,2119.3658351820786
RH,534.9253731343283
PIL,4863.83412015181
CL,2102.011963023382
CM,975.2109116586762
PCN,530.4286052569264
PF,1579.9609063925288
PVT,8430.152787615098
PT,4846.252238424149
RE,1257.874179340148
Xi,783.458491924699
LH,3769.5315003524966
MH,8395.341185760348
LGd,15775.921025244566
MG,8347.40868521713
PP,3285.561497326203
SPFm,5555.727794140444
SPFp,5823.922815480759
SPA,4096.694028164771
PoT,10144.504589315135
VAL,1517.054098709287
VM,767.9348626678986
VP,2862.9121680770354
PPT,3844.598546244465
APN,8384.87536008347
MPT,5303.640256959315
RPF,3358.6641676605896
NOT,4224.034801522566
NPC,5863.587990583379
OP,4825.14422120549
IV,1818.1818181818182
MRN,4275.778224512052
RN,5414.045815600657
AT,662.6402070750647
RR,6352.712424654871
SCig,6059.701644467291
SCiw,5479.309861130594
SCdg,4907.892666284801
SCdw,5007.4235624711655
III,4866.489832007073
SNr,2784.080047182282
MA3,4311.756935270806
MT,1779.5863004408275
Pa4,3914.8936170212764
PN,2443.636363636364
CUN,6172.911515458906
LT,3873.3705772811913
VTA,4433.464917865784
DT,767.6161919040479
VTN,1502.9793200140202
PRC,5599.287622439893
ND,2068.335146898803
Su3,2769.558729481987
INC,2943.199583116206
EW,3471.698113207547
SAG,3327.333017527238
SCzo,2887.729183023138
SCsg,4136.616557533278
SCop,6816.713888812477
ICc,7383.888396657459
ICd,8716.37602564361
ICe,7236.576162645369
MEV,5560.073937153419
NB,1268.2236376503893
SCO,7902.751119641715
PBG,888.1336731804021
PPN,1776.7933310385083
IPR,2205.0510118748953
IPC,434.26632739609835
IPA,775.1448130595049
IPL,797.7839335180056
IPI,167.83216783216784
IPDM,537.0629370629371
IPDL,1062.8158844765344
IPRL,3980.649619903248
IF,2550.3550210114477
RL,3404.5307443365696
CLI,1261.7267165193746
DR,1577.1846435100547
SNc,4051.58264947245
VeCB,7174.668028600613
DN,8017.079419299744
IP,7332.615242575454
FN,10115.331921783534
SIM,18515.86107625336
ANcr1,21836.22080436186
ANcr2,24245.468366490568
PRM,21762.933109174028
COPY,23044.197719392672
PFL,14108.739079707464
FL,17949.728779891513
LING,8701.547531319085
CENT2,12495.027171126832
CENT3,15156.096048506563
"CUL4, 5",20221.920732258826
DEC,17422.836780487472
FOTU,34521.69576059851
PYR,41701.008599366905
UVU,25107.962252171656
NOD,17133.725872007668
LSc,3519.6143535256647
LSr,6319.201791895744
LSv,5326.910946728597
SF,5553.389024003384
SH,5196.581196581197
IA,5723.771778957602
MeAV,2794.4621938232162
MeA,3801.812304594351
MeAPD,4113.421550094518
MeAPV,4115.877790090232
AAA,2702.3921498843324
BA,4528.616024973986
MeAD,3680.3226735811004
CEAc,6234.358479290213
CEAl,5870.8821323487
CEAm,5598.064828253508
CP,4210.03298317136
ACB,6206.379560927102
OT,3976.5515723962344
FS,3500.127316452115
BAC,4688.867745004758
BST,4244.606582331637
GPe,4654.600472813238
GPi,2879.907621247113
TRS,3621.4581700078397
MS,2558.863448975709
NDB,1423.337022009099
MA,1681.6979724689768
SI,2870.197264709642
IG,11292.043200352657
CA,3395.898093646988
DG,3016.8333333333335
FC,5654.849739067842
POST,7001.942191248715
PRE,2284.2542318748006
ProS,2994.6918557225104
APr,6603.994119967015
SUB,3050.98822912459
HATA,7037.131882202304
PAR,4214.173088454107
ENT,7877.426482842053
GU4,4203.931596611795
GU2/3,5880.563042827193
