structure_name,cell_density
GRN,2667.00013976446
ISN,44513.96648044693
PPY,1804.2900919305416
AMB,2420.1680672268903
IRN,4246.260440261716
PHY,3226.569246097642
LIN,10467.866323907454
LRN,341.2749957272261
MARN,610.4522540166105
ICB,5134.10900183711
MDRN,9757.981251281288
ACVII,5970.149253731343
VI,9360.954174513497
VII,956.4957873229414
VNC,15256.906530582226
x,45015.87301587302
XII,1265.642222654477
y,15840.0
IO,478.0532881564762
DMX,1798.655023587273
PARN,21373.19823293027
PAS,12683.636363636364
PGRN,1494.9784205035896
RM,4009.8667982239763
RO,1041.1794611082867
RPA,3879.8970546182445
AP,1488.839987425338
SPVC,15750.132517838942
SPVI,18810.275047493185
SPVO,24977.91082686987
Pa5,30538.436796397556
CN,6336.925223379939
NTB,1057.781303715457
NTS,9460.569913850233
DCN,14766.483297456749
ECU,30238.899312070043
PRNr,3635.0794585050025
LC,2538.4615384615386
LDT,4257.4752261956055
RPO,10845.26931611862
SLC,1291.579679888657
SLD,3324.6753246753246
NI,6178.443968593861
CS,2272.7184119042204
SOC,847.1592930850433
NLL,6615.244773406051
PSV,3581.7438692098094
PB,6794.815643908058
PRNc,5776.001384202786
B,3543.2525951557095
SG,7476.95605573419
SUT,2659.0186807224245
P5,1826.891528315506
Acs5,2917.6470588235293
PC5,1849.9512828840532
I5,5827.06002034588
TRN,4455.387501465588
PDTg,7154.973014649191
V,2284.180342871088
DTN,4694.7628284253215
PCG,4022.30756386709
PG,5614.035087719299
ME,810.9680099709182
PS,2148.731408573928
PVp,1736.7593078133193
PVpo,2995.1707788216704
AVP,2974.2254621192396
AVPV,10120.988953182536
SCH,16721.485411140584
SFO,5876.460767946578
SBPV,8231.639120169006
MEPO,4994.972468278669
MPO,2299.417434593793
VMPO,4812.294182217343
VLPO,5180.8296415626255
ADP,2164.723867762278
OV,18666.666666666668
DMH,2565.2645354271826
PD,3094.777562862669
PVi,4290.552834149756
ARH,3506.457203555655
PVa,7877.729257641921
ASO,5212.669683257918
PVH,2772.678895636386
SO,8238.989836772405
RCH,3109.2857858359207
LHA,3996.654709326034
LPO,1569.912425607024
PST,6724.637681159421
PSTN,3347.763347763348
STN,2790.587838407692
PeF,4323.884581161815
TU,3229.606228139456
ZI,4092.0881752711202
FF,5835.949428937885
PMv,4095.261005532836
VMHDM,1865.3754865660308
VMHC,2591.6701030927834
VMHVL,2764.9954787501256
MBO,3848.8881953655296
MPN,2309.6715049656227
PVHd,2146.004981797279
VMH,3135.8574610244987
AHN,3128.156589558172
PH,2689.2206916482032
PMd,2636.845203060624
GENv,11921.360255047823
LAT,3859.092709112509
ATN,4687.160604247856
RT,2860.932483973875
MED,2378.434609076868
ILM,2453.280687825011
MTN,3767.3030919337352
EPI,7658.1613222636915
GENd,8211.937668016375
PP,8766.893661602933
SPF,9103.997874883782
SPA,1439.5649666309632
VENT,2845.691151621405
PPT,13901.828127249171
APN,15503.504777434206
MPT,12261.230653076633
RPF,5696.576576576576
NOT,6760.240366062077
NPC,5693.7031681346125
OP,8103.359173126615
IV,9948.955916473318
MRN,8684.227321841461
RN,9755.5670438662
AT,1199.128540305011
RR,11623.006283228613
SCig,8928.929679998213
SCiw,8398.940961323253
SCdg,3874.762151876838
SCdw,3768.9385882281445
III,2121.5469613259665
SNr,3343.4470953247032
MA3,5579.48717948718
MT,2546.9149324571013
Pa4,6651.113467656416
PN,2278.7878787878785
CUN,7973.6919498435955
LT,6223.853211009174
VTA,10054.415830059654
DT,4241.420118343195
VTN,8690.196078431372
PRC,3014.5701256812367
ND,4453.352152434722
Su3,5511.961722488038
INC,10700.115530615612
EW,11265.395095367847
SAG,13983.655913978495
SCzo,2345.9611462067055
SCsg,2146.514395685093
SCop,6965.597014035465
ICc,7865.786537042991
ICd,9506.831692266367
ICe,8924.484348916825
MEV,3229.9065420560746
NB,11698.407930309402
SCO,1191.2708600770218
PBG,4173.040752351098
PPN,6546.38814330727
IPN,4105.472733453115
IF,9707.527689130842
RL,7539.630836047774
CLI,1109.2985318107667
DR,3671.073269101501
SNc,3854.0337097038127
VeCB,11381.73861149791
DN,2626.507469850603
IP,7666.3156012161435
FN,2762.024678922186
SIM,15977.569983459123
ANcr1,14413.335601292738
ANcr2,14636.15341679292
PRM,9975.548978391744
COPY,17382.217277715972
PFL,7588.521794037586
FL,11478.322420810477
LING,9452.197107960128
CENT2,16158.10163335046
CENT3,19447.242276613644
"CUL4, 5",17137.7586007628
DEC,17632.281147159705
FOTU,27563.228619738366
PYR,20194.0294834248
UVU,11639.294481574503
NOD,19923.245309613558
LS,5193.548483534881
SF,4571.316016250154
SH,2015.0699677072118
IA,5473.003556417718
MeAV,16028.759736369082
MeA,6429.6174799367345
MeAPD,3750.122329146958
MeAPV,3437.594313832695
AAA,2958.845052046402
BA,4669.0391459074735
MeAD,5691.642465311391
CEA,2627.764615329108
CP,4882.02680086531
ACB,5261.707268948799
OT,4502.367045344063
FS,2234.9837032438304
BAC,2763.832658569501
BST,3575.206189949834
GPe,3540.4662640916827
