structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,3,0,3,0.01503125,0.014078125,0.029109375,199.5841996,0
Accessory facial motor nucleus,1,1,2,0.002171875,0.00234375,0.004515625,460.4316547,426.6666667
"Accessory olfactory bulb, glomerular layer",29,2,31,0.105546875,0.111734375,0.21728125,274.7594375,17.89959446
"Accessory olfactory bulb, granular layer",29,27,56,0.147484375,0.1461875,0.293671875,196.630999,184.6943138
"Accessory olfactory bulb, mitral layer",36,31,67,0.191953125,0.19409375,0.386046875,187.5457875,159.7166318
Accessory supraoptic group,16,3,19,0.004375,0.00475,0.009125,3657.142857,631.5789474
Accessory trigeminal nucleus,6,4,10,0.007,0.006203125,0.013203125,857.1428571,644.836272
"Agranular insular area, dorsal part, layer 1",63,82,145,0.16671875,0.1561875,0.32290625,377.8819119,525.010004
"Agranular insular area, dorsal part, layer 2/3",396,273,669,0.345171875,0.32659375,0.671765625,1147.254538,835.9008707
"Agranular insular area, dorsal part, layer 5",624,191,815,0.59646875,0.558765625,1.155234375,1046.15707,341.824893
"Agranular insular area, dorsal part, layer 6a",238,44,282,0.351453125,0.3331875,0.684640625,677.1884586,132.0577753
"Agranular insular area, dorsal part, layer 6b",19,1,20,0.022953125,0.023421875,0.046375,827.7739959,42.69513009
"Agranular insular area, posterior part, layer 1",325,27,352,0.275296875,0.2563125,0.531609375,1180.543731,105.3401609
"Agranular insular area, posterior part, layer 2/3",1186,545,1731,0.5095,0.461890625,0.971390625,2327.772326,1179.93302
"Agranular insular area, posterior part, layer 5",991,295,1286,0.47859375,0.418171875,0.896765625,2070.64969,705.4515563
"Agranular insular area, posterior part, layer 6a",802,394,1196,0.2810625,0.241875,0.5229375,2853.457861,1628.940568
"Agranular insular area, posterior part, layer 6b",25,3,28,0.0139375,0.01190625,0.02584375,1793.721973,251.9685039
"Agranular insular area, ventral part, layer 1",34,25,59,0.09675,0.09296875,0.18971875,351.4211886,268.907563
"Agranular insular area, ventral part, layer 2/3",241,81,322,0.240171875,0.228203125,0.468375,1003.448052,354.946936
