structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,24,15,39,0.012109375,0.01121875,0.023328125,1981.935484,1337.047354
Accessory facial motor nucleus,1,0,1,0.00275,0.00221875,0.00496875,363.6363636,0
"Accessory olfactory bulb, glomerular layer",469,231,700,0.117234375,0.1108125,0.228046875,4000.53312,2084.602369
"Accessory olfactory bulb, granular layer",688,452,1140,0.22459375,0.156140625,0.380734375,3063.308752,2894.826378
"Accessory olfactory bulb, mitral layer",1158,473,1631,0.246046875,0.199265625,0.4453125,4706.420271,2373.715988
Accessory supraoptic group,3,0,3,0.002953125,0.003296875,0.00625,1015.873016,0
Accessory trigeminal nucleus,11,30,41,0.006640625,0.005875,0.012515625,1656.470588,5106.382979
"Agranular insular area, dorsal part, layer 1",250,571,821,0.271234375,0.180609375,0.45184375,921.7120802,3161.519163
"Agranular insular area, dorsal part, layer 2/3",1322,1610,2932,0.542078125,0.378078125,0.92015625,2438.762863,4258.379138
"Agranular insular area, dorsal part, layer 5",2145,2010,4155,0.917734375,0.641484375,1.55921875,2337.277603,3133.357691
"Agranular insular area, dorsal part, layer 6a",992,695,1687,0.503328125,0.372921875,0.87625,1970.881321,1863.661122
"Agranular insular area, dorsal part, layer 6b",51,40,91,0.031390625,0.0266875,0.058078125,1624.6889,1498.82904
"Agranular insular area, posterior part, layer 1",112,2444,2556,0.35090625,0.3364375,0.68734375,319.1735684,7264.350734
"Agranular insular area, posterior part, layer 2/3",2125,2831,4956,0.691921875,0.58878125,1.280703125,3071.155974,4808.237355
"Agranular insular area, posterior part, layer 5",4303,1908,6211,0.651828125,0.5061875,1.158015625,6601.433468,3769.354241
"Agranular insular area, posterior part, layer 6a",2037,2090,4127,0.356515625,0.27775,0.634265625,5713.634571,7524.752475
"Agranular insular area, posterior part, layer 6b",87,66,153,0.01525,0.012703125,0.027953125,5704.918033,5195.571956
"Agranular insular area, ventral part, layer 1",54,228,282,0.130921875,0.099703125,0.230625,412.4597207,2286.788905
"Agranular insular area, ventral part, layer 2/3",1012,741,1753,0.324125,0.25215625,0.57628125,3122.252218,2938.654108
"Agranular insular area, ventral part, layer 5",1331,454,1785,0.426,0.328515625,0.754515625,3124.413146,1381.973841
"Agranular insular area, ventral part, layer 6a",580,225,805,0.10759375,0.086671875,0.194265625,5390.647691,2595.997837
"Agranular insular area, ventral part, layer 6b",5,0,5,0.0019375,0.00175,0.0036875,2580.645161,0
alveus,1631,2908,4539,0.81171875,0.884203125,1.695921875,2009.316651,3288.837053
amygdalar capsule,554,272,826,0.123,0.111546875,0.234546875,4504.065041,2438.436756
Anterior amygdalar area,208,521,729,0.269890625,0.31334375,0.583234375,770.6825682,1662.710681
"Anterior area, layer 1",1190,354,1544,0.1273125,0.13684375,0.26415625,9347.079038,2586.891984
"Anterior area, layer 2/3",1964,2011,3975,0.223609375,0.2480625,0.471671875,8783.173782,8106.827916
"Anterior area, layer 4",371,398,769,0.079390625,0.090984375,0.170375,4673.095847,4374.377469
"Anterior area, layer 5",648,277,925,0.18634375,0.210125,0.39646875,3477.444239,1318.262939
"Anterior area, layer 6a",328,226,554,0.1175,0.134015625,0.251515625,2791.489362,1686.370526
"Anterior area, layer 6b",136,70,206,0.02190625,0.0245,0.04640625,6208.273894,2857.142857
"Anterior cingulate area, dorsal part, layer 1",572,571,1143,0.224046875,0.289453125,0.5135,2553.037171,1972.68556
"Anterior cingulate area, dorsal part, layer 2/3",1579,1964,3543,0.268421875,0.263328125,0.53175,5882.530997,7458.375363
"Anterior cingulate area, dorsal part, layer 5",682,2759,3441,0.52303125,0.5354375,1.05846875,1303.937384,5152.795611
"Anterior cingulate area, dorsal part, layer 6a",456,1770,2226,0.327640625,0.350953125,0.67859375,1391.768802,5043.408575
"Anterior cingulate area, dorsal part, layer 6b",76,65,141,0.012546875,0.013203125,0.02575,6057.285181,4923.076923
"Anterior cingulate area, ventral part, 6a",265,572,837,0.189671875,0.20334375,0.393015625,1397.149683,2812.970647
"Anterior cingulate area, ventral part, 6b",115,155,270,0.033203125,0.0349375,0.068140625,3463.529412,4436.493739
"Anterior cingulate area, ventral part, layer 1",296,299,595,0.217421875,0.292,0.509421875,1361.408552,1023.972603
"Anterior cingulate area, ventral part, layer 2/3",569,736,1305,0.284296875,0.27103125,0.555328125,2001.428964,2715.554018
"Anterior cingulate area, ventral part, layer 5",482,1063,1545,0.530578125,0.558421875,1.089,908.4430309,1903.578724
"anterior commissure, olfactory limb",869,811,1680,0.425046875,0.42275,0.847796875,2044.480388,1918.391484
"anterior commissure, temporal limb",113,357,470,0.132296875,0.15215625,0.284453125,854.1396008,2346.272335
Anterior hypothalamic nucleus,430,106,536,0.350921875,0.404703125,0.755625,1225.34396,261.9203892
Anterior olfactory nucleus,12085,7794,19879,2.710203125,2.416984375,5.1271875,4459.075369,3224.679514
Anterior pretectal nucleus,10643,19164,29807,0.794078125,0.885359375,1.6794375,13402.96334,21645.44765
Anterior tegmental nucleus,33,12,45,0.0211875,0.021328125,0.042515625,1557.522124,562.6373626
Anterodorsal nucleus,669,452,1121,0.09221875,0.090171875,0.182390625,7254.490003,5012.649454
Anterodorsal preoptic nucleus,18,6,24,0.062546875,0.069015625,0.1315625,287.7841619,86.93683496
"Anterolateral visual area, layer 1",269,48,317,0.0736875,0.069,0.1426875,3650.551315,695.6521739
"Anterolateral visual area, layer 2/3",590,513,1103,0.121640625,0.116078125,0.23771875,4850.353243,4419.43734
"Anterolateral visual area, layer 4",140,286,426,0.06146875,0.060296875,0.121765625,2277.580071,4743.19772
"Anterolateral visual area, layer 5",190,450,640,0.115359375,0.118921875,0.23428125,1647.026954,3783.996847
"Anterolateral visual area, layer 6a",100,312,412,0.06040625,0.065109375,0.125515625,1655.457838,4791.936645
"Anterolateral visual area, layer 6b",31,48,79,0.01175,0.0129375,0.0246875,2638.297872,3710.144928
"Anteromedial nucleus, dorsal part",1039,799,1838,0.139546875,0.141890625,0.2814375,7445.526817,5631.097897
"Anteromedial nucleus, ventral part",336,844,1180,0.09009375,0.095203125,0.185296875,3729.448491,8865.255211
"Anteromedial visual area, layer 1",942,387,1329,0.07559375,0.08346875,0.1590625,12461.34766,4636.465743
"Anteromedial visual area, layer 2/3",1412,1850,3262,0.114609375,0.13146875,0.246078125,12320.10907,14071.78512
