structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,5,25,30,0.010921875,0.01240625,0.023328125,457.7968526,2015.11335
Accessory facial motor nucleus,0,5,5,0.001890625,0.001796875,0.0036875,0,2782.608696
"Accessory olfactory bulb, glomerular layer",87,303,390,0.10309375,0.1285625,0.23165625,843.8920885,2356.830335
"Accessory olfactory bulb, granular layer",199,613,812,0.13803125,0.151734375,0.289765625,1441.702513,4039.954691
"Accessory olfactory bulb, mitral layer",161,533,694,0.18115625,0.214046875,0.395203125,888.7355529,2490.108767
Accessory supraoptic group,0,0,0,0.004234375,0.00375,0.007984375,0,0
Accessory trigeminal nucleus,18,45,63,0.004578125,0.005203125,0.00978125,3931.740614,8648.648649
"Agranular insular area, dorsal part, layer 1",710,691,1401,0.110359375,0.12990625,0.240265625,6433.52683,5319.220592
"Agranular insular area, dorsal part, layer 2/3",1497,2706,4203,0.22709375,0.274375,0.50146875,6591.991193,9862.414579
"Agranular insular area, dorsal part, layer 5",3072,7885,10957,0.39721875,0.5023125,0.89953125,7733.773897,15697.39953
"Agranular insular area, dorsal part, layer 6a",1008,3409,4417,0.2371875,0.32984375,0.56703125,4249.802372,10335.19659
"Agranular insular area, dorsal part, layer 6b",71,183,254,0.01609375,0.023109375,0.039203125,4411.650485,7918.864097
"Agranular insular area, posterior part, layer 1",415,5,420,0.174546875,0.193984375,0.36853125,2377.584818,25.77527185
"Agranular insular area, posterior part, layer 2/3",1664,907,2571,0.331421875,0.366546875,0.69796875,5020.791099,2474.444776
"Agranular insular area, posterior part, layer 5",2159,3955,6114,0.317875,0.345296875,0.663171875,6791.977979,11453.91194
"Agranular insular area, posterior part, layer 6a",1377,3416,4793,0.191671875,0.203515625,0.3951875,7184.152605,16784.95202
"Agranular insular area, posterior part, layer 6b",40,124,164,0.01053125,0.0103125,0.02084375,3798.219585,12024.24242
"Agranular insular area, ventral part, layer 1",326,533,859,0.065703125,0.07209375,0.137796875,4961.712247,7393.151279
"Agranular insular area, ventral part, layer 2/3",1036,2367,3403,0.16159375,0.18034375,0.3419375,6411.139045,13124.93502
"Agranular insular area, ventral part, layer 5",1620,3657,5277,0.212359375,0.2485,0.460859375,7628.577735,14716.29779
"Agranular insular area, ventral part, layer 6a",421,847,1268,0.0538125,0.064703125,0.118515625,7823.461092,13090.55784
"Agranular insular area, ventral part, layer 6b",0,9,9,0.0011875,0.001375,0.0025625,0,6545.454545
alveus,2009,4930,6939,0.74296875,0.798671875,1.541640625,2704.016824,6172.747726
amygdalar capsule,168,709,877,0.08846875,0.0873125,0.17578125,1898.975627,8120.257695
Anterior amygdalar area,40,1450,1490,0.268828125,0.268859375,0.5376875,148.7939552,5393.153949
"Anterior area, layer 1",179,944,1123,0.10021875,0.12578125,0.226,1786.092922,7505.093168
"Anterior area, layer 2/3",2048,5111,7159,0.180328125,0.226546875,0.406875,11357.07478,22560.45244
"Anterior area, layer 4",902,1337,2239,0.066453125,0.081171875,0.147625,13573.47755,16471.22233
"Anterior area, layer 5",825,2560,3385,0.157390625,0.1903125,0.347703125,5241.735332,13451.55993
"Anterior area, layer 6a",776,1237,2013,0.09928125,0.1193125,0.21859375,7816.178785,10367.7318
"Anterior area, layer 6b",97,190,287,0.019828125,0.021328125,0.04115625,4892.040977,8908.424908
"Anterior cingulate area, dorsal part, layer 1",422,110,532,0.157859375,0.20603125,0.363890625,2673.265367,533.8995905
"Anterior cingulate area, dorsal part, layer 2/3",1816,1611,3427,0.1886875,0.1931875,0.381875,9624.378933,8339.048852
"Anterior cingulate area, dorsal part, layer 5",2352,3314,5666,0.394890625,0.424046875,0.8189375,5956.079611,7815.173735
"Anterior cingulate area, dorsal part, layer 6a",981,1757,2738,0.28640625,0.31140625,0.5978125,3425.204583,5642.147516
"Anterior cingulate area, dorsal part, layer 6b",24,19,43,0.011359375,0.011890625,0.02325,2112.792297,1597.897503
"Anterior cingulate area, ventral part, 6a",190,276,466,0.159328125,0.169234375,0.3285625,1192.5076,1630.874342
"Anterior cingulate area, ventral part, 6b",16,37,53,0.029046875,0.02996875,0.059015625,550.8337816,1234.619395
"Anterior cingulate area, ventral part, layer 1",476,61,537,0.15803125,0.2138125,0.37184375,3012.062488,285.2966969
"Anterior cingulate area, ventral part, layer 2/3",596,744,1340,0.2104375,0.20334375,0.41378125,2832.194832,3658.828953
"Anterior cingulate area, ventral part, layer 5",966,992,1958,0.409609375,0.434515625,0.844125,2358.344459,2283.001906
"anterior commissure, olfactory limb",490,996,1486,0.4075625,0.405375,0.8129375,1202.269591,2456.984274
"anterior commissure, temporal limb",41,274,315,0.125734375,0.120984375,0.24671875,326.084255,2264.755263
Anterior hypothalamic nucleus,3,179,182,0.475984375,0.4201875,0.896171875,6.302727899,426.0002975
Anterior olfactory nucleus,6817,11873,18690,2.3575625,2.413,4.7705625,2891.545823,4920.430999
Anterior pretectal nucleus,695,1918,2613,0.739390625,0.7576875,1.497078125,939.9632299,2531.38662
Anterior tegmental nucleus,2,64,66,0.01778125,0.018375,0.03615625,112.4780316,3482.993197
Anterodorsal nucleus,76,89,165,0.10746875,0.0989375,0.20640625,707.1823204,899.5578016
Anterodorsal preoptic nucleus,3,25,28,0.062390625,0.060265625,0.12265625,48.08414726,414.8301789
