structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,2,3,5,0.007015625,0.007546875,0.0145625,285.077951,397.515528
Accessory facial motor nucleus,2,1,3,0.001515625,0.00171875,0.003234375,1319.587629,581.8181818
"Accessory olfactory bulb, glomerular layer",7,0,7,0.026609375,0.0574375,0.084046875,263.0651791,0
"Accessory olfactory bulb, granular layer",34,0,34,0.038484375,0.09340625,0.131890625,883.4754365,0
"Accessory olfactory bulb, mitral layer",28,0,28,0.04840625,0.112046875,0.160453125,578.4377017,0
Accessory supraoptic group,2,0,2,0.002390625,0.002328125,0.00471875,836.6013072,0
Accessory trigeminal nucleus,26,13,39,0.003578125,0.003734375,0.0073125,7266.375546,3481.171548
"Agranular insular area, dorsal part, layer 1",1302,728,2030,0.333390625,0.29940625,0.632796875,3905.328772,2431.478969
"Agranular insular area, dorsal part, layer 2/3",2376,895,3271,0.747171875,0.68096875,1.428140625,3179.991217,1314.30407
"Agranular insular area, dorsal part, layer 5",2415,858,3273,1.376703125,1.410515625,2.78721875,1754.190832,608.2881925
"Agranular insular area, dorsal part, layer 6a",647,151,798,0.58909375,0.51621875,1.1053125,1098.297173,292.5116532
"Agranular insular area, dorsal part, layer 6b",20,5,25,0.03175,0.02534375,0.05709375,629.9212598,197.2872996
"Agranular insular area, posterior part, layer 1",4705,2755,7460,0.34853125,0.36178125,0.7103125,13499.50686,7615.098903
"Agranular insular area, posterior part, layer 2/3",9089,4630,13719,0.7065625,0.663703125,1.370265625,12863.68863,6976.010547
"Agranular insular area, posterior part, layer 5",6961,2601,9562,0.718171875,0.607140625,1.3253125,9692.66584,4284.01575
"Agranular insular area, posterior part, layer 6a",1782,533,2315,0.417765625,0.330875,0.748640625,4265.549613,1610.880242
"Agranular insular area, posterior part, layer 6b",36,17,53,0.017484375,0.0135625,0.031046875,2058.981233,1253.456221
"Agranular insular area, ventral part, layer 1",991,1187,2178,0.162125,0.20021875,0.36234375,6112.567463,5928.515686
"Agranular insular area, ventral part, layer 2/3",1681,1625,3306,0.406171875,0.470296875,0.87646875,4138.642047,3455.264294
"Agranular insular area, ventral part, layer 5",1496,516,2012,0.47525,0.502734375,0.977984375,3147.816938,1026.386946
"Agranular insular area, ventral part, layer 6a",175,84,259,0.1195,0.102390625,0.221890625,1464.435146,820.3876087
"Agranular insular area, ventral part, layer 6b",1,0,1,0.00146875,0.00103125,0.0025,680.8510638,0
alveus,116,79,195,0.556546875,0.50996875,1.066515625,208.4280861,154.9114529
amygdalar capsule,333,102,435,0.118296875,0.107484375,0.22578125,2814.95179,948.9751417
Anterior amygdalar area,133,313,446,0.250390625,0.245796875,0.4961875,531.1700468,1273.409192
"Anterior area, layer 1",1278,1387,2665,0.2703125,0.227671875,0.497984375,4727.861272,6092.100748
"Anterior area, layer 2/3",1042,1069,2111,0.419515625,0.36603125,0.785546875,2483.816902,2920.515666
"Anterior area, layer 4",164,207,371,0.1280625,0.116296875,0.244359375,1280.624695,1779.927449
"Anterior area, layer 5",114,169,283,0.1811875,0.18853125,0.36971875,629.1824767,896.4031162
"Anterior area, layer 6a",10,44,54,0.08471875,0.0905625,0.17528125,118.0376245,485.8523119
"Anterior area, layer 6b",0,1,1,0.013375,0.014765625,0.028140625,0,67.72486772
"Anterior cingulate area, dorsal part, layer 1",0,0,0,0.107203125,0.139625,0.246828125,0,0
"Anterior cingulate area, dorsal part, layer 2/3",0,0,0,0.122921875,0.1276875,0.250609375,0,0
"Anterior cingulate area, dorsal part, layer 5",0,1,1,0.238859375,0.24946875,0.488328125,0,4.008518101
"Anterior cingulate area, dorsal part, layer 6a",0,0,0,0.1441875,0.141109375,0.285296875,0,0
"Anterior cingulate area, dorsal part, layer 6b",0,0,0,0.005234375,0.005234375,0.01046875,0,0
"Anterior cingulate area, ventral part, 6a",1,0,1,0.06978125,0.070015625,0.139796875,14.33049709,0
"Anterior cingulate area, ventral part, 6b",0,0,0,0.012359375,0.011484375,0.02384375,0,0
"Anterior cingulate area, ventral part, layer 1",0,0,0,0.0745,0.10171875,0.17621875,0,0
"Anterior cingulate area, ventral part, layer 2/3",0,0,0,0.09740625,0.0923125,0.18971875,0,0
"Anterior cingulate area, ventral part, layer 5",3,0,3,0.184578125,0.190203125,0.37478125,16.25328028,0
"anterior commissure, olfactory limb",239,125,364,0.161078125,0.1515625,0.312640625,1483.752061,824.742268
"anterior commissure, temporal limb",32,68,100,0.078046875,0.072609375,0.15065625,410.01001,936.5181838
Anterior hypothalamic nucleus,184,40,224,0.272046875,0.2753125,0.547359375,676.3540291,145.2894438
Anterior olfactory nucleus,2558,380,2938,0.94253125,1.006046875,1.948578125,2713.96837,377.7159986
Anterior pretectal nucleus,0,0,0,0.300265625,0.29553125,0.595796875,0,0
Anterior tegmental nucleus,0,1,1,0.011203125,0.011296875,0.0225,0,88.52005533
Anterodorsal nucleus,1,0,1,0.034046875,0.035203125,0.06925,29.37127123,0
Anterodorsal preoptic nucleus,8,7,15,0.0229375,0.0236875,0.046625,348.773842,295.5145119
"Anterolateral visual area, layer 1",2743,2875,5618,0.10278125,0.106921875,0.209703125,26687.74704,26888.79147
"Anterolateral visual area, layer 2/3",4292,3925,8217,0.177015625,0.176328125,0.35334375,24246.44717,22259.63669
"Anterolateral visual area, layer 4",1255,770,2025,0.098453125,0.089015625,0.18746875,12747.18299,8650.166754
