structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,0,2,2,0.009484375,0.009921875,0.01940625,0,201.5748031
Accessory facial motor nucleus,0,0,0,0.001890625,0.002125,0.004015625,0,0
"Accessory olfactory bulb, glomerular layer",53,84,137,0.105671875,0.089671875,0.19534375,501.5525654,936.7485625
"Accessory olfactory bulb, granular layer",31,135,166,0.12775,0.125421875,0.253171875,242.6614481,1076.36726
"Accessory olfactory bulb, mitral layer",56,202,258,0.176875,0.160203125,0.337078125,316.6077739,1260.899249
Accessory supraoptic group,1,3,4,0.003984375,0.004453125,0.0084375,250.9803922,673.6842105
Accessory trigeminal nucleus,3,5,8,0.004359375,0.0053125,0.009671875,688.172043,941.1764706
"Agranular insular area, dorsal part, layer 1",40,1635,1675,0.100640625,0.1423125,0.242953125,397.4538115,11488.80105
"Agranular insular area, dorsal part, layer 2/3",110,3180,3290,0.20959375,0.28315625,0.49275,524.8248099,11230.5485
"Agranular insular area, dorsal part, layer 5",576,949,1525,0.370890625,0.45165625,0.822546875,1553.018494,2101.155469
"Agranular insular area, dorsal part, layer 6a",395,404,799,0.23571875,0.25471875,0.4904375,1675.725839,1586.06306
"Agranular insular area, dorsal part, layer 6b",12,43,55,0.01546875,0.0166875,0.03215625,775.7575758,2576.779026
"Agranular insular area, posterior part, layer 1",29,3084,3113,0.195203125,0.618015625,0.81321875,148.5631954,4990.165095
"Agranular insular area, posterior part, layer 2/3",184,6200,6384,0.34915625,0.545375,0.89453125,526.9846952,11368.32455
"Agranular insular area, posterior part, layer 5",693,2552,3245,0.3120625,0.356140625,0.668203125,2220.708993,7165.70877
"Agranular insular area, posterior part, layer 6a",614,645,1259,0.1810625,0.18415625,0.36521875,3391.094235,3502.460546
"Agranular insular area, posterior part, layer 6b",11,28,39,0.009296875,0.008453125,0.01775,1183.193277,3312.384473
"Agranular insular area, ventral part, layer 1",19,701,720,0.05990625,0.087234375,0.147140625,317.1622327,8035.823034
"Agranular insular area, ventral part, layer 2/3",153,1360,1513,0.14821875,0.202046875,0.350265625,1032.258065,6731.111283
"Agranular insular area, ventral part, layer 5",434,693,1127,0.193609375,0.24128125,0.434890625,2241.626987,2872.166818
"Agranular insular area, ventral part, layer 6a",226,202,428,0.05021875,0.060921875,0.111140625,4500.311139,3315.72198
"Agranular insular area, ventral part, layer 6b",1,0,1,0.001,0.001046875,0.002046875,1000,0
alveus,1418,940,2358,0.675421875,0.5674375,1.242859375,2099.428598,1656.570107
amygdalar capsule,63,179,242,0.07621875,0.08840625,0.164625,826.5682657,2024.743726
Anterior amygdalar area,54,137,191,0.248609375,0.457265625,0.705875,217.2082207,299.6070391
"Anterior area, layer 1",263,315,578,0.13440625,0.09109375,0.2255,1956.754243,3457.975986
"Anterior area, layer 2/3",973,1585,2558,0.240953125,0.157765625,0.39871875,4038.129823,10046.54848
"Anterior area, layer 4",350,362,712,0.084359375,0.05603125,0.140390625,4148.916466,6460.680424
"Anterior area, layer 5",282,499,781,0.20190625,0.13196875,0.333875,1396.687819,3781.1982
"Anterior area, layer 6a",248,429,677,0.12446875,0.08315625,0.207625,1992.467989,5158.962796
"Anterior area, layer 6b",46,77,123,0.021921875,0.014421875,0.03634375,2098.360656,5339.111593
"Anterior cingulate area, dorsal part, layer 1",329,1136,1465,0.179421875,0.23225,0.411671875,1833.66716,4891.280947
"Anterior cingulate area, dorsal part, layer 2/3",625,595,1220,0.21803125,0.215546875,0.433578125,2866.561559,2760.420442
"Anterior cingulate area, dorsal part, layer 5",1075,1208,2283,0.489203125,0.459109375,0.9483125,2197.451212,2631.181295
"Anterior cingulate area, dorsal part, layer 6a",735,474,1209,0.360875,0.293234375,0.654109375,2036.716315,1616.454415
"Anterior cingulate area, dorsal part, layer 6b",14,5,19,0.013890625,0.010296875,0.0241875,1007.874016,485.5842185
"Anterior cingulate area, ventral part, 6a",609,370,979,0.18209375,0.16590625,0.348,3344.431097,2230.175174
"Anterior cingulate area, ventral part, 6b",60,32,92,0.031140625,0.0280625,0.059203125,1926.743603,1140.311804
"Anterior cingulate area, ventral part, layer 1",56,512,568,0.178640625,0.238296875,0.4169375,313.4785271,2148.580421
"Anterior cingulate area, ventral part, layer 2/3",316,189,505,0.23659375,0.221859375,0.458453125,1335.622771,851.8909782
"Anterior cingulate area, ventral part, layer 5",812,793,1605,0.468375,0.462203125,0.930578125,1733.65359,1715.695886
"anterior commissure, olfactory limb",271,1895,2166,0.408046875,0.55,0.958046875,664.1393835,3445.454545
"anterior commissure, temporal limb",51,50,101,0.11440625,0.165796875,0.280203125,445.7798416,301.5738385
Anterior hypothalamic nucleus,84,42,126,0.444953125,0.49809375,0.943046875,188.7839309,84.32147563
Anterior olfactory nucleus,3493,15802,19295,2.7850625,3.524234375,6.309296875,1254.190884,4483.810757
Anterior pretectal nucleus,628,2121,2749,0.911203125,0.635015625,1.54621875,689.1986899,3340.075293
Anterior tegmental nucleus,37,95,132,0.017125,0.0168125,0.0339375,2160.583942,5650.557621
Anterodorsal nucleus,27,62,89,0.086421875,0.084703125,0.171125,312.4209004,731.9682715
Anterodorsal preoptic nucleus,18,7,25,0.064484375,0.076859375,0.14134375,279.1373879,91.07542183
"Anterolateral visual area, layer 1",14,63,77,0.043203125,0.054609375,0.0978125,324.0506329,1153.648069
"Anterolateral visual area, layer 2/3",170,240,410,0.07390625,0.0866875,0.16059375,2300.211416,2768.565249
"Anterolateral visual area, layer 4",120,184,304,0.038328125,0.042578125,0.08090625,3130.860171,4321.46789
"Anterolateral visual area, layer 5",278,760,1038,0.074921875,0.079515625,0.1544375,3710.531804,9557.869916
"Anterolateral visual area, layer 6a",306,593,899,0.041765625,0.041625,0.083390625,7326.599327,14246.24625
"Anterolateral visual area, layer 6b",47,37,84,0.0085625,0.008125,0.0166875,5489.051095,4553.846154
"Anteromedial nucleus, dorsal part",35,45,80,0.149984375,0.15140625,0.301390625,233.3576414,297.2136223
"Anteromedial nucleus, ventral part",48,87,135,0.098671875,0.104828125,0.2035,486.4608076,829.9299449
"Anteromedial visual area, layer 1",266,272,538,0.1,0.0571875,0.1571875,2660,4756.284153
"Anteromedial visual area, layer 2/3",499,1297,1796,0.14821875,0.086859375,0.235078125,3366.645583,14932.18205
"Anteromedial visual area, layer 4",56,383,439,0.042046875,0.02396875,0.066015625,1331.846897,15979.1395
"Anteromedial visual area, layer 5",188,595,783,0.16171875,0.094796875,0.256515625,1162.512077,6276.57821
"Anteromedial visual area, layer 6a",198,411,609,0.09478125,0.054078125,0.148859375,2089.020772,7600.115574
"Anteromedial visual area, layer 6b",18,46,64,0.01703125,0.010421875,0.027453125,1056.880734,4413.793103
Anteroventral nucleus of thalamus,61,231,292,0.233328125,0.21559375,0.448921875,261.434407,1071.459632
Anteroventral periventricular nucleus,9,32,41,0.099875,0.10746875,0.20734375,90.1126408,297.760977
Anteroventral preoptic nucleus,7,12,19,0.050890625,0.0610625,0.111953125,137.5498925,196.5199591
arbor vitae,6107,12332,18439,2.87834375,3.0020625,5.88040625,2121.706276,4107.842525
Arcuate hypothalamic nucleus,151,120,271,0.184296875,0.1883125,0.372609375,819.3302247,637.2386326
Area postrema,7,0,7,0.0166875,0.0215,0.0381875,419.4756554,0
Area prostriata,173,166,339,0.263921875,0.207828125,0.47175,655.4970102,798.7369371
auditory radiation,773,670,1443,0.1825625,0.14878125,0.33134375,4234.166381,4503.255619
Barrington's nucleus,0,1,1,0.005078125,0.00546875,0.010546875,0,182.8571429
"Basolateral amygdalar nucleus, anterior part",491,237,728,0.350078125,0.443875,0.793953125,1402.544075,533.9341031
