structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,112,121,233,0.012421875,0.01246875,0.024890625,9016.352201,9704.260652
Accessory facial motor nucleus,0,25,25,0.00203125,0.00215625,0.0041875,0,11594.2029
"Accessory olfactory bulb, glomerular layer",125,1299,1424,0.114546875,0.126390625,0.2409375,1091.256309,10277.66102
"Accessory olfactory bulb, granular layer",202,361,563,0.158890625,0.169484375,0.328375,1271.31478,2129.989859
"Accessory olfactory bulb, mitral layer",351,1341,1692,0.209109375,0.220640625,0.42975,1678.547411,6077.756533
Accessory supraoptic group,4,32,36,0.0035625,0.00334375,0.00690625,1122.807018,9570.093458
Accessory trigeminal nucleus,0,31,31,0.005265625,0.005359375,0.010625,0,5784.25656
"Agranular insular area, dorsal part, layer 1",573,881,1454,0.16096875,0.1651875,0.32615625,3559.697146,5333.333333
"Agranular insular area, dorsal part, layer 2/3",3133,4537,7670,0.33675,0.33775,0.6745,9303.637713,13433.01258
"Agranular insular area, dorsal part, layer 5",9641,9262,18903,0.6021875,0.57215625,1.17434375,16009.96367,16187.88574
"Agranular insular area, dorsal part, layer 6a",1726,2100,3826,0.379765625,0.34525,0.725015625,4544.908455,6082.548878
"Agranular insular area, dorsal part, layer 6b",123,103,226,0.02475,0.023875,0.048625,4969.69697,4314.136126
"Agranular insular area, posterior part, layer 1",762,519,1281,0.210890625,0.288421875,0.4993125,3613.247388,1799.447424
"Agranular insular area, posterior part, layer 2/3",5348,5424,10772,0.39534375,0.504375,0.89971875,13527.46818,10753.90335
"Agranular insular area, posterior part, layer 5",5018,5490,10508,0.371546875,0.423875,0.795421875,13505.69831,12951.93158
"Agranular insular area, posterior part, layer 6a",2075,2079,4154,0.21953125,0.223859375,0.443390625,9451.957295,9287.080338
"Agranular insular area, posterior part, layer 6b",68,50,118,0.011125,0.0094375,0.0205625,6112.359551,5298.013245
"Agranular insular area, ventral part, layer 1",193,701,894,0.0880625,0.092390625,0.180453125,2191.625266,7587.349907
"Agranular insular area, ventral part, layer 2/3",1652,2534,4186,0.220984375,0.223875,0.444859375,7475.64166,11318.8163
"Agranular insular area, ventral part, layer 5",4118,4608,8726,0.292359375,0.291453125,0.5838125,14085.40431,15810.43264
"Agranular insular area, ventral part, layer 6a",990,1204,2194,0.075078125,0.074359375,0.1494375,13186.26431,16191.6369
"Agranular insular area, ventral part, layer 6b",3,7,10,0.001703125,0.001578125,0.00328125,1761.46789,4435.643564
alveus,2490,3643,6133,0.700875,0.626890625,1.327765625,3552.70198,5811.221056
amygdalar capsule,222,424,646,0.08675,0.08,0.16675,2559.07781,5300
Anterior amygdalar area,470,1160,1630,0.276125,0.274765625,0.550890625,1702.12766,4221.779926
"Anterior area, layer 1",568,464,1032,0.095453125,0.113328125,0.20878125,5950.564741,4094.305804
"Anterior area, layer 2/3",2475,4957,7432,0.16871875,0.20190625,0.370625,14669.38322,24550.9983
"Anterior area, layer 4",517,1326,1843,0.06153125,0.07265625,0.1341875,8402.234637,18250.32258
"Anterior area, layer 5",714,1874,2588,0.14259375,0.169078125,0.311671875,5007.232084,11083.63368
"Anterior area, layer 6a",278,1175,1453,0.091375,0.10609375,0.19746875,3042.407661,11075.11046
"Anterior area, layer 6b",48,277,325,0.015921875,0.019296875,0.03521875,3014.720314,14354.65587
