structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,0,6,6,0.01525,0.015296875,0.030546875,0,392.2369765
Accessory facial motor nucleus,0,8,8,0.0025625,0.003,0.0055625,0,2666.666667
"Accessory olfactory bulb, glomerular layer",193,13,206,0.094234375,0.107890625,0.202125,2048.084895,120.4923968
"Accessory olfactory bulb, granular layer",1,0,1,0.126328125,0.1405,0.266828125,7.91589363,0
"Accessory olfactory bulb, mitral layer",71,8,79,0.1659375,0.185109375,0.351046875,427.8719397,43.21769224
Accessory supraoptic group,0,0,0,0.004046875,0.004234375,0.00828125,0,0
Accessory trigeminal nucleus,3,55,58,0.007046875,0.006859375,0.01390625,425.7206208,8018.223235
"Agranular insular area, dorsal part, layer 1",53,100,153,0.25165625,0.267609375,0.519265625,210.6047436,373.6789864
"Agranular insular area, dorsal part, layer 2/3",166,1201,1367,0.5104375,0.550046875,1.060484375,325.2112159,2183.450274
"Agranular insular area, dorsal part, layer 5",193,1825,2018,0.8973125,0.933453125,1.830765625,215.0867173,1955.106208
"Agranular insular area, dorsal part, layer 6a",83,649,732,0.514421875,0.5230625,1.037484375,161.3461714,1240.769507
"Agranular insular area, dorsal part, layer 6b",0,7,7,0.032625,0.035265625,0.067890625,0,198.4935755
"Agranular insular area, posterior part, layer 1",45,744,789,0.275140625,0.313578125,0.58871875,163.5527287,2372.61448
"Agranular insular area, posterior part, layer 2/3",225,4309,4534,0.52653125,0.58525,1.11178125,427.3250638,7362.665528
"Agranular insular area, posterior part, layer 5",321,3701,4022,0.509203125,0.5331875,1.042390625,630.3967596,6941.273004
"Agranular insular area, posterior part, layer 6a",199,1370,1569,0.30734375,0.30978125,0.617125,647.4834774,4422.475537
"Agranular insular area, posterior part, layer 6b",0,32,32,0.014265625,0.014390625,0.02865625,0,2223.669924
"Agranular insular area, ventral part, layer 1",14,73,87,0.1353125,0.14925,0.2845625,103.4642032,489.1122278
"Agranular insular area, ventral part, layer 2/3",76,752,828,0.330375,0.3666875,0.6970625,230.0416194,2050.792569
