structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,1,0,1,0.012171875,0.012828125,0.025,82.15661104,0
Accessory facial motor nucleus,0,0,0,0.002203125,0.002078125,0.00428125,0,0
"Accessory olfactory bulb, glomerular layer",11,17,28,0.0663125,0.0575,0.1238125,165.8812441,295.6521739
"Accessory olfactory bulb, granular layer",382,6,388,0.089828125,0.078125,0.167953125,4252.565664,76.8
"Accessory olfactory bulb, mitral layer",68,14,82,0.116203125,0.101765625,0.21796875,585.1821971,137.5710118
Accessory supraoptic group,1,0,1,0.003296875,0.0034375,0.006734375,303.3175355,0
Accessory trigeminal nucleus,0,1,1,0.005359375,0.005703125,0.0110625,0,175.3424658
"Agranular insular area, dorsal part, layer 1",572,47,619,0.16696875,0.15934375,0.3263125,3425.790754,294.959796
"Agranular insular area, dorsal part, layer 2/3",3761,464,4225,0.3545,0.34215625,0.69665625,10609.30889,1356.10558
"Agranular insular area, dorsal part, layer 5",6562,936,7498,0.61284375,0.6016875,1.21453125,10707.4601,1555.624805
"Agranular insular area, dorsal part, layer 6a",1700,74,1774,0.365890625,0.365671875,0.7315625,4646.197207,202.3672179
"Agranular insular area, dorsal part, layer 6b",46,5,51,0.0241875,0.025375,0.0495625,1901.808786,197.044335
"Agranular insular area, posterior part, layer 1",921,220,1141,0.28790625,0.32096875,0.608875,3198.957994,685.424983
"Agranular insular area, posterior part, layer 2/3",14017,2172,16189,0.524078125,0.542765625,1.06684375,26746.01234,4001.727265
"Agranular insular area, posterior part, layer 5",12538,2081,14619,0.4645,0.461484375,0.925984375,26992.46502,4509.361774
"Agranular insular area, posterior part, layer 6a",4004,562,4566,0.255578125,0.25503125,0.510609375,15666.4425,2203.651513
"Agranular insular area, posterior part, layer 6b",129,8,137,0.0115,0.0111875,0.0226875,11217.3913,715.0837989
"Agranular insular area, ventral part, layer 1",671,56,727,0.099546875,0.096921875,0.19646875,6740.543086,577.7849428
"Agranular insular area, ventral part, layer 2/3",3266,479,3745,0.249265625,0.24821875,0.497484375,13102.48856,1929.749465
"Agranular insular area, ventral part, layer 5",3250,864,4114,0.31725,0.31803125,0.63528125,10244.28684,2716.714159
"Agranular insular area, ventral part, layer 6a",1079,250,1329,0.085046875,0.086265625,0.1713125,12687.12107,2898.02572
"Agranular insular area, ventral part, layer 6b",0,0,0,0.001578125,0.001546875,0.003125,0,0
alveus,3694,1104,4798,0.81565625,0.807328125,1.622984375,4528.868626,1367.473727
amygdalar capsule,773,28,801,0.09115625,0.095484375,0.186640625,8479.945149,293.2416953
Anterior amygdalar area,512,6,518,0.286734375,0.30934375,0.596078125,1785.624762,19.39589858
"Anterior area, layer 1",1185,52,1237,0.12909375,0.12675,0.25584375,9179.375454,410.2564103
"Anterior area, layer 2/3",3919,1085,5004,0.232640625,0.228609375,0.46125,16845.72503,4746.087075
"Anterior area, layer 4",828,231,1059,0.08396875,0.08325,0.16721875,9860.811314,2774.774775
"Anterior area, layer 5",671,475,1146,0.197734375,0.194578125,0.3923125,3393.441328,2441.178832
"Anterior area, layer 6a",286,141,427,0.126015625,0.124875,0.250890625,2269.559826,1129.129129
"Anterior area, layer 6b",34,43,77,0.022421875,0.0229375,0.045359375,1516.376307,1874.659401
"Anterior cingulate area, dorsal part, layer 1",128,379,507,0.25040625,0.322546875,0.572953125,511.1693498,1175.02301
"Anterior cingulate area, dorsal part, layer 2/3",903,1104,2007,0.300484375,0.2965625,0.597046875,3005.147938,3722.655427
"Anterior cingulate area, dorsal part, layer 5",1322,760,2082,0.599109375,0.598890625,1.198,2206.608768,1269.013019
"Anterior cingulate area, dorsal part, layer 6a",297,286,583,0.36609375,0.374375,0.74046875,811.2676056,763.9398998
"Anterior cingulate area, dorsal part, layer 6b",2,1,3,0.013296875,0.01359375,0.026890625,150.4112808,73.56321839
"Anterior cingulate area, ventral part, 6a",74,146,220,0.188515625,0.199140625,0.38765625,392.5404061,733.150255
"Anterior cingulate area, ventral part, 6b",4,5,9,0.032234375,0.033984375,0.06621875,124.0911294,147.1264368
"Anterior cingulate area, ventral part, layer 1",20,52,72,0.211203125,0.287734375,0.4989375,94.69556854,180.7222373
"Anterior cingulate area, ventral part, layer 2/3",79,220,299,0.277765625,0.266390625,0.54415625,284.412443,825.8548888
"Anterior cingulate area, ventral part, layer 5",223,136,359,0.5150625,0.544671875,1.059734375,432.9571654,249.6916148
"anterior commissure, olfactory limb",276,11,287,0.3696875,0.3599375,0.729625,746.5765004,30.56086126
"anterior commissure, temporal limb",107,0,107,0.121109375,0.130265625,0.251375,883.4989034,0
Anterior hypothalamic nucleus,75,0,75,0.3931875,0.387421875,0.780609375,190.7486886,0
Anterior olfactory nucleus,2862,173,3035,2.15415625,2.054640625,4.208796875,1328.594432,84.19963954
Anterior pretectal nucleus,193,27,220,0.725875,0.75671875,1.48259375,265.8859997,35.68036341
Anterior tegmental nucleus,3,0,3,0.0194375,0.0194375,0.038875,154.340836,0
Anterodorsal nucleus,12,15,27,0.08975,0.091671875,0.181421875,133.7047354,163.6270666
Anterodorsal preoptic nucleus,47,4,51,0.05221875,0.054453125,0.106671875,900.0598444,73.45767575
"Anterolateral visual area, layer 1",369,4,373,0.0651875,0.065203125,0.130390625,5660.594439,61.34675294
"Anterolateral visual area, layer 2/3",3156,1604,4760,0.1080625,0.106625,0.2146875,29205.32099,15043.37632
"Anterolateral visual area, layer 4",1749,883,2632,0.056109375,0.05409375,0.110203125,31171.26149,16323.51242
"Anterolateral visual area, layer 5",1544,1148,2692,0.108578125,0.106828125,0.21540625,14220.17556,10746.23373
"Anterolateral visual area, layer 6a",674,481,1155,0.059015625,0.05784375,0.116859375,11420.70426,8315.505132
"Anterolateral visual area, layer 6b",139,88,227,0.0118125,0.0125,0.0243125,11767.19577,7040
"Anteromedial nucleus, dorsal part",3,0,3,0.141375,0.14328125,0.28465625,21.22015915,0
"Anteromedial nucleus, ventral part",1,0,1,0.09440625,0.096390625,0.190796875,10.59251903,0
"Anteromedial visual area, layer 1",846,44,890,0.074640625,0.072078125,0.14671875,11334.31024,610.4487318
"Anteromedial visual area, layer 2/3",2507,1827,4334,0.11425,0.11153125,0.22578125,21943.10722,16381.05912
"Anteromedial visual area, layer 4",702,632,1334,0.033296875,0.031875,0.065171875,21083.0596,19827.45098
"Anteromedial visual area, layer 5",462,1371,1833,0.1273125,0.123953125,0.251265625,3628.865979,11060.6328
"Anteromedial visual area, layer 6a",261,402,663,0.0775625,0.076140625,0.153703125,3365.028203,5279.704494
"Anteromedial visual area, layer 6b",23,70,93,0.0141875,0.014859375,0.029046875,1621.145374,4710.830705
Anteroventral nucleus of thalamus,26,20,46,0.225640625,0.23421875,0.459859375,115.2274773,85.39026017
Anteroventral periventricular nucleus,67,20,87,0.0966875,0.09928125,0.19596875,692.9541047,201.4479068
Anteroventral preoptic nucleus,134,5,139,0.050609375,0.04953125,0.100140625,2647.730781,100.9463722
arbor vitae,4443,1601,6044,2.98603125,3.139703125,6.125734375,1487.928166,509.9208225
Arcuate hypothalamic nucleus,220,26,246,0.153125,0.1535625,0.3066875,1436.734694,169.3121693
Area postrema,17,19,36,0.0233125,0.030546875,0.053859375,729.2225201,621.9948849
Area prostriata,349,44,393,0.200328125,0.226,0.426328125,1742.141799,194.6902655
auditory radiation,1889,195,2084,0.217765625,0.220671875,0.4384375,8674.463658,883.6649437
Barrington's nucleus,1,0,1,0.006875,0.00690625,0.01378125,145.4545455,0
"Basolateral amygdalar nucleus, anterior part",3087,217,3304,0.396203125,0.443328125,0.83953125,7791.45798,489.4794347
"Basolateral amygdalar nucleus, posterior part",3237,141,3378,0.400546875,0.402015625,0.8025625,8081.451141,350.7326363
"Basolateral amygdalar nucleus, ventral part",4909,120,5029,0.24003125,0.25484375,0.494875,20451.50371,470.8767627
"Basomedial amygdalar nucleus, anterior part",2294,213,2507,0.42428125,0.45596875,0.88025,5406.790896,467.1372764
"Basomedial amygdalar nucleus, posterior part",2109,419,2528,0.378796875,0.389328125,0.768125,5567.627769,1076.213027
Bed nuclei of the stria terminalis,549,46,595,0.721765625,0.7319375,1.453703125,760.6347282,62.84689608
Bed nucleus of the accessory olfactory tract,20,3,23,0.0140625,0.01378125,0.02784375,1422.222222,217.6870748
Bed nucleus of the anterior commissure,0,0,0,0.00390625,0.004,0.00790625,0,0
brachium of the inferior colliculus,37,17,54,0.143921875,0.1596875,0.303609375,257.0839214,106.4579256
brachium of the superior colliculus,102,196,298,0.119515625,0.12871875,0.248234375,853.4448948,1522.699684
Caudoputamen,35626,1055,36681,13.947375,14.62898438,28.57635938,2554.315776,72.11710485
"Central amygdalar nucleus, capsular part",636,4,640,0.156859375,0.177328125,0.3341875,4054.58711,22.55705348
"Central amygdalar nucleus, lateral part",54,2,56,0.124078125,0.143515625,0.26759375,435.2096713,13.93576483
"Central amygdalar nucleus, medial part",33,8,41,0.367875,0.41521875,0.78309375,89.70438328,19.26695266
"central canal, spinal cord/medulla",0,0,0,0,0,0,0,0
Central lateral nucleus of the thalamus,10,20,30,0.22484375,0.236296875,0.461140625,44.47533009,84.63929115
Central linear nucleus raphe,0,0,0,0.034890625,0.042765625,0.07765625,0,0
Central medial nucleus of the thalamus,0,0,0,0.151265625,0.176640625,0.32790625,0,0
cerebal peduncle,338,132,470,0.463125,0.4174375,0.8805625,729.8245614,316.2150022
cerebellar commissure,1,2,3,0.029984375,0.032921875,0.06290625,33.35070349,60.74988135
Cerebellum,361,157,518,0.367046875,0.356734375,0.72378125,983.5256056,440.1033682
cerebral aqueduct,1,13,14,0.19553125,0.2424375,0.43796875,5.114272015,53.62206754
choroid plexus,649,1016,1665,0.689671875,0.7375,1.427171875,941.0272095,1377.627119
cingulum bundle,510,830,1340,0.7400625,0.749046875,1.489109375,689.1309856,1108.074845
Claustrum,2645,427,3072,0.296390625,0.300765625,0.59715625,8924.03395,1419.710115
columns of the fornix,274,1,275,0.143796875,0.143140625,0.2869375,1905.465609,6.986136885
commissural branch of stria terminalis,1,3,4,0.01775,0.019078125,0.036828125,56.33802817,157.2481572
Copula pyramidis,2353,1151,3504,1.2029375,1.27946875,2.48240625,1956.045098,899.5921159
"corpus callosum, anterior forceps",62,10,72,0.3898125,0.39815625,0.78796875,159.0508257,25.11576799
"corpus callosum, body",2933,273,3206,1.600265625,1.70190625,3.302171875,1832.820723,160.4083656
"corpus callosum, extreme capsule",1023,77,1100,0.05484375,0.05465625,0.1095,18652.99145,1408.805031
