structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,0,3,3,0.011765625,0.01184375,0.023609375,0,253.298153
Accessory facial motor nucleus,0,2,2,0.0018125,0.002109375,0.003921875,0,948.1481481
"Accessory olfactory bulb, glomerular layer",37,55,92,0.09015625,0.078453125,0.168609375,410.3986135,701.0555666
"Accessory olfactory bulb, granular layer",9,30,39,0.138015625,0.110640625,0.24865625,65.21000792,271.1481429
"Accessory olfactory bulb, mitral layer",11,35,46,0.169375,0.13990625,0.30928125,64.94464945,250.1675229
Accessory supraoptic group,0,0,0,0.003484375,0.003578125,0.0070625,0,0
Accessory trigeminal nucleus,0,8,8,0.00559375,0.00559375,0.0111875,0,1430.167598
"Agranular insular area, dorsal part, layer 1",69,209,278,0.220515625,0.188828125,0.40934375,312.9029972,1106.826645
"Agranular insular area, dorsal part, layer 2/3",251,358,609,0.46184375,0.39375,0.85559375,543.473848,909.2063492
"Agranular insular area, dorsal part, layer 5",761,654,1415,0.834375,0.684390625,1.518765625,912.0599251,955.5946211
"Agranular insular area, dorsal part, layer 6a",558,229,787,0.4985,0.399484375,0.897984375,1119.358074,573.2389408
"Agranular insular area, dorsal part, layer 6b",47,10,57,0.03334375,0.02746875,0.0608125,1409.559513,364.0500569
"Agranular insular area, posterior part, layer 1",0,0,0,0.242125,0.278171875,0.520296875,0,0
"Agranular insular area, posterior part, layer 2/3",4,8,12,0.4915625,0.57196875,1.06353125,8.137317228,13.98677812
"Agranular insular area, posterior part, layer 5",7,279,286,0.512,0.58009375,1.09209375,13.671875,480.9567419
"Agranular insular area, posterior part, layer 6a",27,227,254,0.340734375,0.34615625,0.686890625,79.24061081,655.7732238
"Agranular insular area, posterior part, layer 6b",1,7,8,0.01896875,0.01740625,0.036375,52.71828666,402.1543986
"Agranular insular area, ventral part, layer 1",14,36,50,0.13378125,0.108390625,0.242171875,104.6484466,332.1320456
"Agranular insular area, ventral part, layer 2/3",21,142,163,0.34,0.267359375,0.607359375,61.76470588,531.120332
"Agranular insular area, ventral part, layer 5",55,162,217,0.454953125,0.3463125,0.801265625,120.8915754,467.7855983
"Agranular insular area, ventral part, layer 6a",18,36,54,0.120265625,0.089859375,0.210125,149.6687021,400.6259781
"Agranular insular area, ventral part, layer 6b",0,0,0,0.002203125,0.00159375,0.003796875,0,0
alveus,48,521,569,0.99496875,0.84684375,1.8418125,48.24272119,615.2256541
amygdalar capsule,19,82,101,0.169171875,0.1346875,0.303859375,112.3118131,608.8167053
Anterior amygdalar area,0,241,241,0.3581875,0.34771875,0.70590625,0,693.0888829
"Anterior area, layer 1",12,219,231,0.133796875,0.126828125,0.260625,89.68819339,1726.746335
"Anterior area, layer 2/3",12,301,313,0.238515625,0.228703125,0.46721875,50.31116934,1316.116691
"Anterior area, layer 4",6,56,62,0.088390625,0.083296875,0.1716875,67.88050203,672.2941287
"Anterior area, layer 5",3,102,105,0.202515625,0.191078125,0.39359375,14.81367178,533.8130673
"Anterior area, layer 6a",2,31,33,0.1288125,0.120109375,0.248921875,15.52644347,258.0980877
"Anterior area, layer 6b",0,5,5,0.02284375,0.021875,0.04471875,0,228.5714286
"Anterior cingulate area, dorsal part, layer 1",23,9,32,0.211671875,0.271078125,0.48275,108.6587436,33.20076085
"Anterior cingulate area, dorsal part, layer 2/3",10,0,10,0.25134375,0.251234375,0.502578125,39.78614945,0
"Anterior cingulate area, dorsal part, layer 5",4,9,13,0.5063125,0.51678125,1.02309375,7.900259227,17.41549253
"Anterior cingulate area, dorsal part, layer 6a",1,13,14,0.326015625,0.33215625,0.658171875,3.067337647,39.13820679
"Anterior cingulate area, dorsal part, layer 6b",0,0,0,0.01203125,0.0128125,0.02484375,0,0
"Anterior cingulate area, ventral part, 6a",1,9,10,0.189859375,0.190109375,0.37996875,5.267056209,47.34116874
"Anterior cingulate area, ventral part, 6b",0,2,2,0.032421875,0.032859375,0.06528125,0,60.86543034
"Anterior cingulate area, ventral part, layer 1",7,4,11,0.202671875,0.272125,0.474796875,34.53858608,14.69912724
"Anterior cingulate area, ventral part, layer 2/3",0,0,0,0.266515625,0.252375,0.518890625,0,0
"Anterior cingulate area, ventral part, layer 5",2,2,4,0.510359375,0.518390625,1.02875,3.918807213,3.858094463
"anterior commissure, olfactory limb",1,89,90,0.49803125,0.455046875,0.953078125,2.00790613,195.5842461
"anterior commissure, temporal limb",0,98,98,0.1695625,0.156390625,0.325953125,0,626.6360276
Anterior hypothalamic nucleus,0,67,67,0.42521875,0.42225,0.84746875,0,158.6737715
Anterior olfactory nucleus,36,832,868,2.830578125,2.48325,5.313828125,12.71824992,335.0448002
Anterior pretectal nucleus,96,306,402,0.6269375,0.61390625,1.24084375,153.1253115,498.4474421
