structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,55,8,63,0.01225,0.011296875,0.023546875,4489.795918,708.1604426
Accessory facial motor nucleus,45,6,51,0.003484375,0.00296875,0.006453125,12914.79821,2021.052632
"Accessory olfactory bulb, glomerular layer",1626,1444,3070,0.080859375,0.088328125,0.1691875,20108.98551,16348.13373
"Accessory olfactory bulb, granular layer",2275,2032,4307,0.11196875,0.1120625,0.22403125,20318.16913,18132.73843
"Accessory olfactory bulb, mitral layer",2993,2446,5439,0.144375,0.152109375,0.296484375,20730.73593,16080.53416
Accessory supraoptic group,28,13,41,0.002875,0.00275,0.005625,9739.130435,4727.272727
Accessory trigeminal nucleus,40,34,74,0.006625,0.005765625,0.012390625,6037.735849,5897.01897
"Agranular insular area, dorsal part, layer 1",1256,381,1637,0.11946875,0.1179375,0.23740625,10513.20952,3230.524642
"Agranular insular area, dorsal part, layer 2/3",4114,2238,6352,0.24675,0.246828125,0.493578125,16672.74569,9067.038045
"Agranular insular area, dorsal part, layer 5",8407,5543,13950,0.431,0.427234375,0.858234375,19505.80046,12974.14329
"Agranular insular area, dorsal part, layer 6a",4708,3357,8065,0.254484375,0.265109375,0.51959375,18500.1535,12662.69818
"Agranular insular area, dorsal part, layer 6b",291,192,483,0.01578125,0.01815625,0.0339375,18439.60396,10574.87091
"Agranular insular area, posterior part, layer 1",1211,724,1935,0.176625,0.20753125,0.38415625,6856.334041,3488.63123
"Agranular insular area, posterior part, layer 2/3",5951,6036,11987,0.323828125,0.36853125,0.692359375,18377.03257,16378.52964
"Agranular insular area, posterior part, layer 5",7894,8897,16791,0.292234375,0.3335,0.625734375,27012.56483,26677.66117
"Agranular insular area, posterior part, layer 6a",4055,3906,7961,0.164234375,0.19365625,0.357890625,24690.32442,20169.75956
"Agranular insular area, posterior part, layer 6b",118,82,200,0.007828125,0.00971875,0.017546875,15073.8523,8437.299035
"Agranular insular area, ventral part, layer 1",1259,214,1473,0.065046875,0.066296875,0.13134375,19355.27264,3227.904784
"Agranular insular area, ventral part, layer 2/3",4182,1583,5765,0.162390625,0.1616875,0.324078125,25752.71818,9790.490916
"Agranular insular area, ventral part, layer 5",4787,2889,7676,0.2110625,0.211796875,0.422859375,22680.48564,13640.42789
"Agranular insular area, ventral part, layer 6a",1265,825,2090,0.053046875,0.053609375,0.10665625,23846.83358,15389.09939
"Agranular insular area, ventral part, layer 6b",9,3,12,0.001015625,0.001109375,0.002125,8861.538462,2704.225352
alveus,11718,9176,20894,0.589296875,0.71334375,1.302640625,19884.7143,12863.36356
amygdalar capsule,879,1166,2045,0.059546875,0.078984375,0.13853125,14761.47993,14762.41345
Anterior amygdalar area,445,2297,2742,0.20228125,0.214671875,0.416953125,2199.907307,10700.05095
"Anterior area, layer 1",372,590,962,0.09825,0.11409375,0.21234375,3786.259542,5171.185976
"Anterior area, layer 2/3",2149,4522,6671,0.174265625,0.212046875,0.3863125,12331.74931,21325.47344
"Anterior area, layer 4",854,2305,3159,0.066,0.078390625,0.144390625,12939.39394,29404.02631
"Anterior area, layer 5",1524,5349,6873,0.1458125,0.187890625,0.333703125,10451.77883,28468.69023
"Anterior area, layer 6a",1562,3925,5487,0.0945625,0.122828125,0.217390625,16518.17581,31955.22198
"Anterior area, layer 6b",414,804,1218,0.01596875,0.022484375,0.038453125,25925.63601,35758.16539
"Anterior cingulate area, dorsal part, layer 1",2548,1496,4044,0.189484375,0.245125,0.434609375,13447.01905,6103.008669
"Anterior cingulate area, dorsal part, layer 2/3",7694,2718,10412,0.222953125,0.231828125,0.45478125,34509.49611,11724.20301
"Anterior cingulate area, dorsal part, layer 5",12317,5616,17933,0.458421875,0.51765625,0.976078125,26868.26409,10848.89828
"Anterior cingulate area, dorsal part, layer 6a",8776,4964,13740,0.2873125,0.360296875,0.647609375,30545.13813,13777.52721
"Anterior cingulate area, dorsal part, layer 6b",325,156,481,0.010515625,0.012859375,0.023375,30906.3893,12131.22722
"Anterior cingulate area, ventral part, 6a",3837,1317,5154,0.159234375,0.195390625,0.354625,24096.55578,6740.343862
"Anterior cingulate area, ventral part, 6b",760,168,928,0.02684375,0.0335625,0.06040625,28311.99069,5005.586592
"Anterior cingulate area, ventral part, layer 1",3215,1467,4682,0.18778125,0.259171875,0.446953125,17120.98519,5660.336408
"Anterior cingulate area, ventral part, layer 2/3",7494,1516,9010,0.241921875,0.245078125,0.487,30976.94245,6185.782595
"Anterior cingulate area, ventral part, layer 5",9006,3354,12360,0.4479375,0.522828125,0.970765625,20105.48347,6415.110128
"anterior commissure, olfactory limb",4165,5458,9623,0.384703125,0.3725625,0.757265625,10826.5302,14649.89096
"anterior commissure, temporal limb",355,732,1087,0.09609375,0.11053125,0.206625,3694.308943,6622.561493
Anterior hypothalamic nucleus,3526,1432,4958,0.30475,0.32125,0.626,11570.13946,4457.587549
Anterior olfactory nucleus,36640,43839,80479,2.694046875,2.353765625,5.0478125,13600.35727,18625.04896
