structure_name,cell_density
GRN,351.51797339127586
ISN,8390.243902439024
PPY,477.9463243873979
AMB,271.0428798305982
IRN,282.4360105913504
PHY,1685.1181769189316
LIN,235.64064801178202
LRN,231.95558297347316
MARN,153.82634447830378
ICB,14605.898123324398
MDRN,7872.302959364415
ACVII,251.96850393700788
VI,1440.6548431105048
VII,270.3017121468855
VNC,11337.149736342148
x,40144.61315979754
XII,354.15403274711946
y,30265.221017514596
IO,222.19176830661004
DMX,665.6306037059175
PARN,3278.6517753492653
PAS,20719.424460431655
PGRN,437.71671808116315
RM,782.9103523826913
RO,1148.5148514851485
RPA,3461.3180515759313
AP,554.0082800150545
SPVC,14260.193150730083
SPVI,14875.709737766254
SPVO,10984.606262400512
Pa5,31734.806629834256
CN,5467.435404655136
NTB,515.054807825725
NTS,5281.334338301442
DCN,15301.479682990517
ECU,38889.73109547013
PRNr,5028.512115216193
LC,3039.7946084724003
LDT,8424.02351952961
RPO,7448.931116389549
SLC,899.4082840236686
SLD,3308.9864587607717
NI,3914.551761913456
CS,4075.2358932700117
SOC,1069.5409260586882
NLL,5247.976982557094
PSV,3076.270495146423
PB,9679.483870967742
PRNc,5101.9929660023445
B,4062.2754491017968
SG,2231.7210348706412
SUT,6648.722213821261
P5,9120.763116057235
Acs5,7122.580645161291
PC5,2948.840165236734
I5,13883.767535070141
TRN,2614.4094900273303
PDTg,4938.503721112417
V,4114.120621162874
DTN,10148.618500085808
PCG,5949.136406908745
PG,3441.119267206224
ME,42.22564328128436
PS,660.1941747572815
PVp,2074.286533773125
PVpo,2044.82594182165
AVP,738.3563594929498
AVPV,1257.527082555099
SCH,945.0249886415265
SFO,5776.554760594387
SBPV,858.1743166580711
MEPO,383.1242873432155
MPO,848.98108546989
VMPO,800.4653868528213
VLPO,1413.5989605889995
ADP,328.2417214851154
OV,693.4984520123838
DMH,1675.2440106477372
PD,1862.785862785863
PVi,842.8657435279952
ARH,590.1677136764451
PVa,2067.2947510094214
ASO,1445.5852156057495
PVH,1451.6344229486324
SO,2041.346721795629
RCH,2454.6860501082588
LHA,2367.200830147156
LPO,396.25673504111916
PST,1035.8381502890174
PSTN,1752.0819373982963
STN,892.6010558663619
PeF,3785.368373474527
TU,3173.8747761692316
ZI,8023.0532621013435
FF,12027.259868844027
PMv,5058.978178950136
VMHDM,826.0098522167488
VMHC,876.1771886989885
VMHVL,1552.5055857006066
MBO,4635.393710427817
MPN,1241.6079030318785
PVHd,1170.7317073170732
VMH,1148.7179487179487
AHN,2812.910327475724
PH,1553.914069670877
PMd,4081.7389040739295
GENv,17902.69806361637
LAT,3631.1862315922936
ATN,4910.686221634568
RT,5392.536574386676
MED,2590.144927536232
ILM,1671.6759696579363
MTN,4524.868604685692
EPI,6094.057762531814
GENd,7639.7314646934865
PP,2540.672187043351
SPF,14653.62035225049
SPA,618.4873949579833
VENT,3712.9396010418964
PPT,11168.359166221271
APN,19231.91074640046
MPT,8830.577392247222
RPF,11704.843820733364
NOT,4193.171331897878
NPC,8801.56598534165
OP,7083.495145631068
IV,9226.544622425628
MRN,13290.094304441349
RN,15843.221565303675
AT,6491.5824915824915
RR,13614.870611104361
SCig,4907.2486360093535
SCiw,7300.230705913723
SCdg,4354.197333775631
SCdw,4111.338642396663
III,7082.8784119106695
SNr,3824.6844319775596
MA3,1500.0
MT,18109.324758842446
Pa4,13230.142566191445
PN,6410.774410774411
CUN,10155.46118745549
LT,7477.124183006536
VTA,10926.640926640926
DT,759.1933570581258
VTN,11795.728876508821
PRC,3123.6022967663944
ND,3098.1432360742706
Su3,2146.554866934014
INC,10868.868477623608
EW,824.0343347639486
SAG,8158.006684898208
SCzo,1721.7100652326271
SCsg,1918.0692063656716
SCop,4129.578209705143
ICc,8420.110302933419
ICd,6470.308177314547
ICe,7496.6750151135675
MEV,7882.35294117647
NB,4673.826327094201
SCO,875.8553274682308
PBG,2200.2022244691607
PPN,9238.73405762872
IPN,2883.542067245232
IF,2297.9777135782087
RL,4012.172854534388
CLI,3174.7613117476135
DR,3035.737491877843
SNc,11296.046452053624
VeCB,8212.636165577342
DN,1614.1321698414388
IP,15093.31955238417
FN,2875.0687947165657
SIM,10572.657921147273
ANcr1,11075.49257326001
ANcr2,11624.608809315898
PRM,8679.930790659739
COPY,19035.077761380406
PFL,3465.627602163729
FL,7565.05957547542
LING,3115.6986596826378
CENT2,14013.95676805991
CENT3,16742.555047990554
"CUL4, 5",14109.135837965003
DEC,16976.192484856663
FOTU,20450.733390854184
PYR,19301.299470681417
UVU,16672.9679852363
NOD,17561.652258389797
LS,3022.5685679920043
SF,4298.579631308553
SH,431.53526970954357
IA,1820.120867401351
MeAV,6765.165165165165
MeA,2837.814397224631
MeAPD,1538.0568916752238
MeAPV,2760.778919313932
AAA,793.8370831826904
BA,3540.589296452195
MeAD,2938.2957884427037
CEA,1933.9157008011741
CP,4988.951644261981
ACB,4142.745939213617
OT,3531.9574251696504
FS,1866.608188966511
BAC,3008.5470085470088
BST,2654.2484983464938
GPe,7375.529516684421
GPi,11222.96258329062
