structure_name,cell_density
MY-mot,10613.4048141862
MY-sat,16951.706815846555
MY-sen,8058.457455755106
P-sat,6599.703799287358
P-sen,6563.860526545142
P-mot,7544.133263450539
ME,1021.9560878243514
PVR,3114.441849945597
PVZ,3109.699900672496
LZ,3454.0954653655995
MEZ,2471.1224236672097
DORpm,1560.9632946095737
DORsm,2771.0595959449884
PRT,2254.300191496212
IV,2782.608695652174
MRN,3301.6148495654415
RN,3100.1472754050073
AT,4490.60773480663
RR,2398.001665278934
SCm,3582.7884356300406
III,663.8194020744356
SNr,2215.7684976607175
MA3,209.15032679738562
MT,6225.780624499599
Pa4,3695.774647887324
PN,359.5505617977528
CUN,1770.7126171768346
LT,3859.29648241206
VTA,2535.049356491316
DT,904.5936395759718
VTN,4363.636363636363
PAG,1025.544692538673
EW,491.6201117318436
SAG,3536.3043176454253
SCs,915.0660718285219
IC,3926.9855311697725
MEV,309.17874396135267
NB,1001.5428697377122
SCO,0.0
PBG,433.4575008465967
PPN,3607.500455124704
RAmb,859.0111276815418
SNc,4390.684239032316
SIM,3475.246555622137
AN,4208.336246816784
PRM,3253.4222219473654
COPY,3085.3206836051727
PFL,1042.6840927240212
FL,1438.7514966351514
LING,231.66023166023166
CENT,1044.2994028607138
CUL,3306.355685131195
DEC,5117.304666702559
FOTU,7263.333575212248
PYR,18894.538477352155
UVU,13618.096520971712
NOD,775.9519038076153
LSX,1738.5185900644206
sAMY,2310.972478460163
STRd,4614.967930924231
STRv,8393.55936446709
PALc,3850.0647952373065
PALd,2099.711401259535
PALm,3243.932030224556
PALv,8228.603225021156
HPF,2777.151932569673
Isocortex,7076.564733360447
OLF,5729.724867182491
LA,2201.705765651525
BLA,4738.288674706902
BMA,4349.485288921344
CLA,6800.138826912588
PA,1799.0812237317955
EP,4839.242984555145
VeCB,415.13513513513516
DN,4154.204769589385
IP,2256.1484598668553
FN,8419.033920652044
