structure_name,cell_density
MY-mot,2250.681711330512
MY-sat,572.3996064752705
MY-sen,6422.207777310442
P-sat,1351.6866544573757
P-sen,2748.5552407932014
P-mot,2397.439120955001
ME,375.6750410894576
PVR,2597.0197083800676
PVZ,3222.528536602037
LZ,1740.168234707934
MEZ,3011.526478381811
DORpm,2479.0178617888155
DORsm,2506.50955050841
PRT,7042.817977901472
IV,2484.018264840183
MRN,2723.5210345221885
RN,2122.6383115377066
AT,884.1354723707664
RR,2388.0597014925374
SCm,5971.165328170365
III,2093.4579439252334
SNr,1710.288402536306
MA3,4671.532846715328
MT,2032.479249368459
Pa4,2524.5202558635397
PN,1657.2734196496574
CUN,9104.737387021854
LT,5765.241128298453
VTA,3289.2974772883563
DT,1824.228028503563
VTN,5477.0206022187
PAG,4028.277768002236
EW,9676.30644342973
SAG,1845.2585636820527
SCs,6291.567973688579
IC,10883.164280876324
MEV,7625.531914893618
NB,2540.8515535097813
SCO,2857.916102841678
PBG,225.68322068762856
PPN,2631.9811648461928
RAmb,2394.0374068344818
SNc,2312.094861660079
SIM,13418.933224416309
AN,11170.556956082426
PRM,15554.6875
COPY,23760.69746467582
PFL,12570.437040127688
FL,15274.323906786138
LING,7964.537842718765
CENT,12870.65252482303
CUL,12339.16980629336
DEC,11150.797588895457
FOTU,15262.131086297788
PYR,14294.011296897283
UVU,11064.993480645451
NOD,10812.460388639762
LSX,2594.464327980319
sAMY,2897.935063683189
STRd,3054.3110998445904
STRv,4191.856979342671
PALc,2150.5265420159035
PALd,759.0764076533919
PALm,2477.8121284185495
PALv,1528.8738730467674
HPF,5179.723927170572
Isocortex,9501.263980155487
OLF,6766.9369737670395
LA,3527.8979317363965
BLA,5828.666181621293
BMA,3969.1614928020745
CLA,6302.459797164789
PA,3894.686872375388
EP,4655.364764701388
VeCB,5706.34553033812
DN,10256.16355983163
IP,28563.6976617727
FN,4948.430493273542
