structure_name,cell_density
MY-mot,4084.671580189416
MY-sat,1599.1906929691452
MY-sen,12075.28325876126
P-sat,5054.386696211141
P-sen,5243.9841608285105
P-mot,4978.606761397649
ME,42.22564328128436
PVR,1188.4009898034326
PVZ,1099.1976248191365
LZ,3997.5586274174316
MEZ,2636.444015754361
DORpm,4383.922532094289
DORsm,4754.160586879736
PRT,14768.595734251754
IV,9226.544622425628
MRN,13290.094304441349
RN,15843.221565303675
AT,6491.5824915824915
RR,13614.870611104361
SCm,5627.675922339189
III,7082.8784119106695
SNr,3824.6844319775596
MA3,1500.0
MT,18109.324758842446
Pa4,13230.142566191445
PN,6410.774410774411
CUN,10155.46118745549
LT,7477.124183006536
VTA,10926.640926640926
DT,759.1933570581258
VTN,11795.728876508821
PAG,3277.0754135801544
EW,824.0343347639486
SAG,8158.006684898208
SCs,2511.268959373608
IC,7410.763102397875
MEV,7882.35294117647
NB,4673.826327094201
SCO,875.8553274682308
PBG,2200.2022244691607
PPN,9238.73405762872
RAmb,2972.3610205904356
SNc,11296.046452053624
SIM,10572.657921147273
AN,11329.209232739362
PRM,8679.930790659739
COPY,19035.077761380406
PFL,3465.627602163729
FL,7565.05957547542
LING,3115.6986596826378
CENT,15932.554748740455
CUL,14109.135837965003
DEC,16976.192484856663
FOTU,20450.733390854184
PYR,19301.299470681417
UVU,16672.9679852363
NOD,17561.652258389797
LSX,3142.6622853245713
sAMY,1995.028448323482
STRd,4988.951644261981
STRv,3793.445610496777
PALc,2656.3343900434425
PALd,8164.026339804486
PALm,1809.6387779738136
PALv,2964.5190596492976
HPF,2931.3377442277592
Isocortex,5695.685100106154
OLF,5909.221672827399
LA,1441.844219350332
BLA,3159.766263258468
BMA,2362.6454881555524
CLA,5018.220921201983
PA,6945.5461231841755
EP,3233.6336823327897
VeCB,8212.636165577342
DN,1614.1321698414388
IP,15093.31955238417
FN,2875.0687947165657
