structure_name,cell_density
GRN,2667.00013976446
ISN,44513.96648044693
PPY,1804.2900919305416
AMBv,173.28519855595667
AMBd,4827.852998065764
IRN,4246.260440261716
PRP,3564.0262060750447
NR,433.7646333949476
LIN,10467.866323907454
LRNm,313.3087928351865
LRNp,595.0413223140496
MARN,610.4522540166105
ICB,5134.10900183711
MDRNd,16508.520421963753
MDRNv,1467.0487106017192
ACVII,5970.149253731343
VI,9360.954174513497
VII,956.4957873229414
MV,5788.5366482285535
LAV,36558.73985150232
SUV,13984.780245379718
SPIV,31218.734429496762
x,45015.87301587302
XII,1265.642222654477
y,15840.0
IO,478.0532881564762
DMX,1798.655023587273
PARN,21373.19823293027
PAS,12683.636363636364
PGRNd,3334.7186946817515
PGRNl,829.0617338979273
RM,4009.8667982239763
RO,1041.1794611082867
RPA,3879.8970546182445
AP,1488.839987425338
SPVC,15750.132517838942
SPVI,18810.275047493185
SPVO,24977.91082686987
Pa5,30538.436796397556
VCO,2519.7604790419164
DCO,11942.258371803326
NTB,1057.781303715457
NTS,9460.569913850233
GR,535.8382683275474
CU,18218.23765416811
ECU,30238.899312070043
PRNr,3635.0794585050025
LC,2538.4615384615386
LDT,4257.4752261956055
RPO,10845.26931611862
SLC,1291.579679888657
SLD,3324.6753246753246
NI,6178.443968593861
CS,2272.7184119042204
SOCm,965.7534246575343
SOCl,661.8106139438086
POR,947.0605104674506
NLL,6615.244773406051
PSV,3581.7438692098094
KF,4124.835585316274
PRNc,5776.001384202786
B,3543.2525951557095
SG,7476.95605573419
SUT,2659.0186807224245
P5,1826.891528315506
Acs5,2917.6470588235293
PC5,1849.9512828840532
I5,5827.06002034588
TRN,4455.387501465588
PDTg,7154.973014649191
V,2284.180342871088
DTN,4694.7628284253215
PCG,4022.30756386709
PG,5614.035087719299
ME,810.9680099709182
PS,2148.731408573928
PVp,1736.7593078133193
PVpo,2995.1707788216704
AVP,2974.2254621192396
AVPV,10120.988953182536
SCH,16721.485411140584
SFO,5876.460767946578
SBPV,8231.639120169006
MEPO,4994.972468278669
MPO,2299.417434593793
VMPO,4812.294182217343
VLPO,5180.8296415626255
ADP,2164.723867762278
OV,18666.666666666668
DMH,2565.2645354271826
PD,3094.777562862669
PVi,4290.552834149756
ARH,3506.457203555655
PVa,7877.729257641921
ASO,5212.669683257918
PVH,2772.678895636386
SO,8238.989836772405
RCH,3109.2857858359207
LHA,3996.654709326034
LPO,1569.912425607024
PST,6724.637681159421
PSTN,3347.763347763348
STN,2790.587838407692
PeF,4323.884581161815
TU,3229.606228139456
FF,5835.949428937885
PMv,4095.261005532836
VMHDM,1865.3754865660308
VMHC,2591.6701030927834
VMHVL,2764.9954787501256
LM,3893.7335226120463
MM,3310.178920463088
SUM,5802.707930367505
TM,2284.9812934259753
MPN,2309.6715049656227
PVHd,2146.004981797279
VMH,3135.8574610244987
AHN,3128.156589558172
PH,2689.2206916482032
PMd,2636.845203060624
LGv,10362.457868809955
IGL,19128.4046692607
SubG,5027.962716378162
IntG,24306.78466076696
PO,1203.1421500053802
POL,9703.338806787084
LP,4722.242184692777
SGN,8209.867629362214
Eth,5523.485139812119
IAD,5710.788064269319
IAM,3224.025187696779
AM,7181.620314389358
LD,2342.700929469656
AV,6800.6450667057625
AD,4835.620616041476
RT,2860.932483973875
PR,803.8218523655416
MD,3082.2545370832213
SMT,939.504875131393
IMD,576.8067993839485
RH,547.0717338569943
PIL,7388.562266167824
CL,2430.608783062135
CM,1446.3276836158193
PCN,2132.632468202938
PF,2283.3690887044118
PVT,4128.889605454085
PT,8668.178108279677
RE,1191.790811542869
Xi,553.5760392460625
LH,8239.915324003292
MH,7032.65577087219
LGd,6153.067678684377
MG,10220.312465569292
PP,8766.893661602933
SPFm,2730.015606034333
SPFp,13060.381013884404
SPA,1439.5649666309632
PoT,10862.728431789204
VAL,3088.021137362131
VM,1956.7324097454446
VP,2310.076947012568
PPT,13901.828127249171
APN,15503.504777434206
MPT,12261.230653076633
RPF,5696.576576576576
NOT,6760.240366062077
NPC,5693.7031681346125
OP,8103.359173126615
IV,9948.955916473318
MRN,8684.227321841461
RN,9755.5670438662
AT,1199.128540305011
RR,11623.006283228613
SCig,8928.929679998213
SCiw,8398.940961323253
SCdg,3874.762151876838
SCdw,3768.9385882281445
III,2121.5469613259665
SNr,3343.4470953247032
MA3,5579.48717948718
MT,2546.9149324571013
Pa4,6651.113467656416
PN,2278.7878787878785
CUN,7973.6919498435955
LT,6223.853211009174
VTA,10054.415830059654
DT,4241.420118343195
VTN,8690.196078431372
PRC,3014.5701256812367
ND,4453.352152434722
Su3,5511.961722488038
INC,10700.115530615612
EW,11265.395095367847
SAG,13983.655913978495
SCzo,2345.9611462067055
SCsg,2146.514395685093
SCop,6965.597014035465
ICc,7865.786537042991
ICd,9506.831692266367
ICe,8924.484348916825
MEV,3229.9065420560746
NB,11698.407930309402
SCO,1191.2708600770218
PBG,4173.040752351098
PPN,6546.38814330727
IPR,5920.820512820513
IPC,4640.837696335078
IPA,2492.917847025496
